,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-10-23 18:26:19.000000,2023-10-23 18:26:19,1535.0,25.0,595.0,107.0,303.0,42.0,128.0,4132.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-26 16:36:29.000000,2023-10-26 16:36:28,277.0,24.0,151.0,52.0,165.0,1.0,2.0,2042.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-10-26 16:36:35,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-26 16:34:41.000000,2023-10-26 16:34:41,295.0,28.0,221.0,86.0,167.0,4.0,4.0,3206.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-10-26 16:34:49,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-10-26 18:01:04.000000,2023-10-26 18:00:56,155484.0,3883.0,71829.0,7684.0,23480.0,1874.0,36287.0,180663.0,An Open Source Machine Learning Framework for Everyone.,4481.0,55,True,2023-09-26 22:45:05,2.14.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],313863.0,313863.0,https://pypi.org/project/tensorflow,17517433.0,18792667.0,https://anaconda.org/conda-forge/tensorflow,2023-10-23 11:56:40.358,4392767.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-10-26 12:54:52.630948,2228.0,74779159.0,1.0,,,,,,,,,,,,,,
4,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-10-26 17:57:46.000000,2023-10-26 17:57:34,65526.0,3032.0,18996.0,1678.0,74655.0,12102.0,25141.0,71991.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4426.0,53,True,2023-10-04 17:32:12,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],333928.0,333928.0,https://pypi.org/project/torch,13772364.0,14538462.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,19144814.0,,,,,1.0,26042.0,,,,,,,,,,,,,
5,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-10-26 15:47:18.000000,2023-10-26 13:15:39,30568.0,358.0,23844.0,2157.0,16284.0,1632.0,8864.0,56242.0,scikit-learn: machine learning in Python.,3002.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],623832.0,623832.0,https://pypi.org/project/scikit-learn,43531470.0,44145355.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25168914.0,,,,,1.0,907.0,,,,,,,,,,,,,
6,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-10-26 17:58:18.000000,2023-10-26 16:13:19,14307.0,744.0,21690.0,1060.0,13613.0,676.0,12458.0,114005.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2219.0,50,True,2023-10-18 21:15:29,4.34.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",108770.0,108770.0,https://pypi.org/project/transformers,18143490.0,18179517.0,https://anaconda.org/conda-forge/transformers,2023-10-19 03:27:36.447,1404940.0,,,,,1.0,143.0,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-10-26 17:51:57.000000,2023-10-26 16:35:31,48807.0,820.0,7003.0,593.0,17305.0,1200.0,8680.0,18315.0,matplotlib: plotting with Python.,1596.0,48,True,2023-09-15 02:33:40,3.8.0,77.0,matplotlib,conda-forge/matplotlib,,,,980238.0,980238.0,https://pypi.org/project/matplotlib,42011417.0,42537628.0,https://anaconda.org/conda-forge/matplotlib,2023-10-12 18:45:12.490,21048470.0,,,,,1.0,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-10-26 11:06:34.000000,2023-10-26 11:06:34,16410.0,345.0,1920.0,225.0,4432.0,76.0,2853.0,11194.0,Python Imaging Library (Fork).,448.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1390031.0,1390031.0,https://pypi.org/project/Pillow,70432788.0,71309556.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34193966.0,,,,,1.0,,,,,,,,,,,,,,
9,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-10-26 13:25:35.000000,2023-10-26 11:46:18,56522.0,1550.0,3975.0,290.0,12725.0,4239.0,8535.0,11469.0,A computer algebra system written in pure Python.,1258.0,46,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,88893.0,88893.0,https://pypi.org/project/sympy,9745196.0,9800765.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4570343.0,,,,,1.0,518732.0,,,,,,,,,,,,,
