,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,trending,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-10-23 18:26:19.000000,2023-10-23 18:26:19,1535.0,25.0,595.0,107.0,303.0,43.0,129.0,4137.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-26 16:36:29.000000,2023-10-26 16:36:28,277.0,24.0,151.0,52.0,165.0,1.0,2.0,2043.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-10-26 16:36:35,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-26 16:34:41.000000,2023-10-26 16:34:41,295.0,28.0,221.0,86.0,167.0,4.0,4.0,3210.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-10-26 16:34:49,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-26 16:34:41.000000,2023-10-26 16:34:41,295.0,28.0,221.0,86.0,167.0,4.0,4.0,3210.0,Collection of database clients for python.,12.0,0,True,2023-10-26 16:34:49,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-26 16:34:41.000000,2023-10-26 16:34:41,295.0,28.0,221.0,86.0,167.0,4.0,4.0,3210.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-10-26 16:34:49,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-26 16:34:41.000000,2023-10-26 16:34:41,295.0,28.0,221.0,86.0,167.0,4.0,4.0,3210.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-10-26 16:34:49,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-10-29 03:11:20.000000,2023-10-28 17:43:37,155569.0,3937.0,71827.0,7685.0,23482.0,1889.0,36298.0,180690.0,An Open Source Machine Learning Framework for Everyone.,4481.0,55,True,2023-09-26 22:45:05,2.14.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],314391.0,314391.0,https://pypi.org/project/tensorflow,17459102.0,18735000.0,https://anaconda.org/conda-forge/tensorflow,2023-10-23 11:56:40.358,4395564.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-10-28 12:48:31.267441,2228.0,74812754.0,1.0,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-10-29 03:43:55.000000,2023-10-29 01:57:43,65619.0,3098.0,19003.0,1680.0,74778.0,12115.0,25161.0,72047.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4435.0,53,True,2023-10-04 17:32:12,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],334958.0,334958.0,https://pypi.org/project/torch,13841004.0,14608833.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,19188061.0,,,,,1.0,26145.0,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-10-28 17:59:51.000000,2023-10-27 12:06:01,30570.0,357.0,23850.0,2158.0,16291.0,1634.0,8864.0,56262.0,scikit-learn: machine learning in Python.,3002.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],625345.0,625345.0,https://pypi.org/project/scikit-learn,43011715.0,43626877.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25221268.0,,,,,1.0,908.0,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-10-29 03:53:44.000000,2023-10-27 19:50:10,14319.0,755.0,21717.0,1062.0,13636.0,676.0,12474.0,114088.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2220.0,50,True,2023-10-18 21:15:29,4.34.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",109323.0,109323.0,https://pypi.org/project/transformers,17857415.0,17893572.0,https://anaconda.org/conda-forge/transformers,2023-10-19 03:27:36.447,1410015.0,,,,,1.0,143.0,,,,,,,,,,,,,
