,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-10-23 18:26:19.000000,2023-10-23 18:26:19,1535.0,21.0,599.0,107.0,303.0,43.0,129.0,4153.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-02 18:05:30.000000,2023-11-02 18:05:29,279.0,24.0,152.0,52.0,166.0,1.0,2.0,2043.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-11-02 18:06:09,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3212.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-02 14:17:03,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3212.0,Collection of database clients for python.,12.0,0,True,2023-11-02 14:17:03,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3212.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-02 14:17:03,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3212.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-02 14:17:03,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-02 17:16:10.000000,2023-11-02 17:16:04,155764.0,3785.0,71845.0,7682.0,23495.0,1901.0,36313.0,180782.0,An Open Source Machine Learning Framework for Everyone.,4485.0,54,True,2023-09-26 22:45:05,2.14.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],315537.0,315537.0,https://pypi.org/project/tensorflow,17870965.0,19091225.0,https://anaconda.org/conda-forge/tensorflow,2023-10-23 11:56:40.358,4402881.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-02 12:49:47.742827,2229.0,74877325.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-02 18:00:41.000000,2023-11-02 17:39:45,65805.0,3090.0,19033.0,1681.0,75015.0,12249.0,25219.0,72183.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4449.0,53,True,2023-10-04 17:32:12,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],337081.0,337081.0,https://pypi.org/project/torch,14507895.0,15250664.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,19304055.0,,,,,1.0,26383.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-02 17:49:42.000000,2023-11-02 16:48:14,30591.0,357.0,23874.0,2160.0,16311.0,1628.0,8879.0,56295.0,scikit-learn: machine learning in Python.,3006.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],628420.0,628420.0,https://pypi.org/project/scikit-learn,43937576.0,44540233.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25311253.0,,,,,1.0,909.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-02 17:53:08.000000,2023-11-02 17:42:29,14387.0,776.0,21800.0,1066.0,13708.0,676.0,12522.0,114420.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2232.0,50,True,2023-11-02 17:00:05,4.35.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",110370.0,110370.0,https://pypi.org/project/transformers,18052238.0,18087756.0,https://anaconda.org/conda-forge/transformers,2023-10-19 03:27:36.447,1420600.0,,,,,1.0,143.0,,,,,,,,,,,,
