,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-09 15:21:11.000000,2023-10-23 18:26:19,1535.0,21.0,605.0,107.0,304.0,45.0,130.0,4181.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-16 18:15:11.000000,2023-11-16 18:15:10,284.0,25.0,154.0,52.0,170.0,1.0,2.0,2057.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-11-16 18:15:16,2023.11.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 18:07:10.000000,2023-11-16 18:07:10,301.0,27.0,222.0,88.0,170.0,4.0,4.0,3225.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-16 18:07:17,2023.11.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 18:07:10.000000,2023-11-16 18:07:10,301.0,27.0,222.0,88.0,170.0,4.0,4.0,3225.0,Collection of database clients for python.,12.0,0,True,2023-11-16 18:07:17,2023.11.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 18:07:10.000000,2023-11-16 18:07:10,301.0,27.0,222.0,88.0,170.0,4.0,4.0,3225.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-16 18:07:17,2023.11.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 18:07:10.000000,2023-11-16 18:07:10,301.0,27.0,222.0,88.0,170.0,4.0,4.0,3225.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-16 18:07:17,2023.11.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-16 17:48:41.000000,2023-11-16 17:48:32,156314.0,3604.0,71884.0,7680.0,23519.0,1919.0,36372.0,181041.0,An Open Source Machine Learning Framework for Everyone.,4494.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],319492.0,319492.0,https://pypi.org/project/tensorflow,17760228.0,18983851.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4418875.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-16 13:49:13.437174,2234.0,75046696.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-16 17:57:46.000000,2023-11-16 17:42:48,66418.0,3336.0,19176.0,1682.0,75749.0,12293.0,25549.0,72589.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4492.0,54,True,2023-11-15 22:59:33,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],345044.0,345044.0,https://pypi.org/project/torch,14722385.0,15473395.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19518060.0,,,,,1.0,27237.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-16 16:55:08.000000,2023-11-16 14:35:16,30639.0,358.0,23919.0,2155.0,16366.0,1621.0,8909.0,56439.0,scikit-learn: machine learning in Python.,3011.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],639079.0,639079.0,https://pypi.org/project/scikit-learn,44391340.0,44998642.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25506288.0,,,,,1.0,913.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-16 17:31:35.000000,2023-11-16 16:43:19,14520.0,777.0,21928.0,1073.0,13886.0,686.0,12628.0,115278.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2258.0,50,True,2023-11-15 16:39:42,4.35.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",114216.0,114216.0,https://pypi.org/project/transformers,17854862.0,17890967.0,https://anaconda.org/conda-forge/transformers,2023-11-15 00:12:51.565,1444202.0,,,,,1.0,,,,,,,,,,,,,
