,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-09 15:21:11.000000,2023-10-23 18:26:19,1535.0,19.0,606.0,107.0,304.0,46.0,130.0,4193.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-23 18:07:37.000000,2023-11-23 18:07:36,286.0,25.0,153.0,52.0,171.0,1.0,2.0,2066.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-11-23 18:07:42,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-23 16:09:47.000000,2023-11-23 16:09:47,303.0,27.0,222.0,87.0,171.0,4.0,4.0,3234.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-23 16:09:52,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-23 16:09:47.000000,2023-11-23 16:09:47,303.0,27.0,222.0,87.0,171.0,4.0,4.0,3234.0,Collection of database clients for python.,12.0,0,True,2023-11-23 16:09:52,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-23 16:09:47.000000,2023-11-23 16:09:47,303.0,27.0,222.0,87.0,171.0,4.0,4.0,3234.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-23 16:09:52,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-23 16:09:47.000000,2023-11-23 16:09:47,303.0,27.0,222.0,87.0,171.0,4.0,4.0,3234.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-23 16:09:52,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-23 17:45:12.000000,2023-11-23 17:41:56,156580.0,3540.0,71900.0,7678.0,23528.0,1931.0,36407.0,181189.0,An Open Source Machine Learning Framework for Everyone.,4496.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],321315.0,321315.0,https://pypi.org/project/tensorflow,17779719.0,19004730.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4424128.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-23 13:48:26.688998,2236.0,75129520.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-23 17:50:16.000000,2023-11-23 13:13:06,66724.0,3320.0,19231.0,1683.0,76071.0,12350.0,25755.0,72821.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4509.0,54,True,2023-11-15 22:59:33,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],348568.0,348568.0,https://pypi.org/project/torch,15021084.0,15774537.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19581389.0,,,,,1.0,27807.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-23 17:43:55.000000,2023-11-23 10:57:15,30665.0,355.0,23933.0,2153.0,16397.0,1620.0,8919.0,56522.0,scikit-learn: machine learning in Python.,3016.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],643800.0,643800.0,https://pypi.org/project/scikit-learn,44059094.0,44667662.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25559440.0,,,,,1.0,913.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-23 17:59:07.000000,2023-11-23 17:44:08,14565.0,751.0,21972.0,1074.0,13965.0,687.0,12686.0,115705.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2271.0,50,True,2023-11-15 16:39:42,4.35.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",115950.0,115950.0,https://pypi.org/project/transformers,17838540.0,17874780.0,https://anaconda.org/conda-forge/transformers,2023-11-17 08:43:43.342,1449630.0,,,,,1.0,,,,,,,,,,,,,
10,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-23 15:47:19.000000,2023-11-23 04:35:36,10092.0,563.0,18545.0,1915.0,6761.0,113.0,11278.0,59779.0,Deep Learning for humans.,1255.0,50,True,2023-09-12 16:19:40,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],190550.0,190550.0,https://pypi.org/project/keras,13346630.0,13427771.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3326792.0,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-11-23 17:14:53.000000,2023-11-23 09:02:10,49122.0,866.0,7050.0,593.0,17411.0,1174.0,8755.0,18440.0,matplotlib: plotting with Python.,1608.0,49,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1008886.0,1008886.0,https://pypi.org/project/matplotlib,44007347.0,44527223.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21314939.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-21 11:27:32.000000,2023-11-20 22:21:59,16499.0,354.0,1933.0,224.0,4474.0,74.0,2875.0,11253.0,Python Imaging Library (Fork).,449.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1432164.0,1432164.0,https://pypi.org/project/Pillow,74214707.0,75087443.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34909446.0,,,,,1.0,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-23 16:57:01.000000,2023-11-23 10:21:29,18355.0,1156.0,2294.0,316.0,11660.0,1164.0,3534.0,25654.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",600.0,45,True,2023-11-02 23:29:45,jax-v0.4.20,89.0,jax,conda-forge/jaxlib,,,,19481.0,19481.0,https://pypi.org/project/jax,12053047.0,12077294.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,994130.0,,,,,1.0,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-23 18:02:22.000000,2023-11-23 18:02:21,9953.0,341.0,2996.0,243.0,9702.0,651.0,5953.0,25191.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",913.0,45,True,2023-11-15 20:56:33,2.1.2,104.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],26256.0,26256.0,https://pypi.org/project/pytorch-lightning,4529511.0,4554649.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-11-17 05:31:05.209,1013208.0,,,,,1.0,13657.0,,,,,,,,,,,,
15,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-23 17:27:16.000000,2023-11-23 16:11:37,44950.0,1699.0,5170.0,727.0,41583.0,1075.0,16438.0,21036.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1138.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4303.0,4303.0,https://pypi.org/project/paddlepaddle,175614.0,175790.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
