,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-30 18:08:27.000000,2023-10-23 18:26:19,1535.0,19.0,607.0,107.0,304.0,45.0,131.0,4205.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-30 16:29:34.000000,2023-11-30 16:29:33,288.0,25.0,152.0,51.0,172.0,1.0,2.0,2068.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-11-30 16:29:39,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 16:04:39.000000,2023-11-30 16:04:38,305.0,27.0,222.0,87.0,172.0,4.0,4.0,3236.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-30 16:04:44,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 16:04:39.000000,2023-11-30 16:04:38,305.0,27.0,222.0,87.0,172.0,4.0,4.0,3236.0,Collection of database clients for python.,12.0,0,True,2023-11-30 16:04:44,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 16:04:39.000000,2023-11-30 16:04:38,305.0,27.0,222.0,87.0,172.0,4.0,4.0,3236.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-30 16:04:44,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 16:04:39.000000,2023-11-30 16:04:38,305.0,27.0,222.0,87.0,172.0,4.0,4.0,3236.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-30 16:04:44,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-30 17:36:50.000000,2023-11-30 17:36:44,156788.0,3410.0,71912.0,7677.0,23537.0,1912.0,36466.0,181352.0,An Open Source Machine Learning Framework for Everyone.,4499.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],323244.0,323244.0,https://pypi.org/project/tensorflow,17351174.0,18577503.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4428868.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-30 13:49:07.465887,2239.0,75210533.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-30 18:00:23.000000,2023-11-30 17:50:06,66905.0,3271.0,19282.0,1687.0,76341.0,12256.0,25993.0,73069.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4514.0,54,True,2023-11-15 22:59:33,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],352346.0,352346.0,https://pypi.org/project/torch,15201915.0,15957476.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19636019.0,,,,,1.0,28442.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-30 17:15:34.000000,2023-11-30 16:42:52,30693.0,360.0,23950.0,2151.0,16427.0,1622.0,8929.0,56573.0,scikit-learn: machine learning in Python.,3018.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],648979.0,648979.0,https://pypi.org/project/scikit-learn,43720444.0,44330192.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25609002.0,,,,,1.0,915.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-30 17:49:10.000000,2023-11-30 14:16:31,14606.0,729.0,22057.0,1084.0,14014.0,681.0,12738.0,116183.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2281.0,50,True,2023-11-15 16:39:42,4.35.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",117821.0,117821.0,https://pypi.org/project/transformers,17953372.0,17989725.0,https://anaconda.org/conda-forge/transformers,2023-11-17 08:43:43.342,1454141.0,,,,,1.0,,,,,,,,,,,,,
