,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-30 18:08:27.000000,2023-10-23 18:26:19,1535.0,19.0,610.0,108.0,304.0,45.0,131.0,4223.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-07 16:55:28.000000,2023-12-07 16:55:27,290.0,25.0,154.0,52.0,173.0,1.0,2.0,2073.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-12-07 16:55:34,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 16:29:30.000000,2023-12-07 16:29:30,307.0,27.0,222.0,87.0,173.0,4.0,4.0,3241.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-12-07 16:29:35,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 16:29:30.000000,2023-12-07 16:29:30,307.0,27.0,222.0,87.0,173.0,4.0,4.0,3241.0,Collection of database clients for python.,12.0,0,True,2023-12-07 16:29:35,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 16:29:30.000000,2023-12-07 16:29:30,307.0,27.0,222.0,87.0,173.0,4.0,4.0,3241.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-12-07 16:29:35,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 16:29:30.000000,2023-12-07 16:29:30,307.0,27.0,222.0,87.0,173.0,4.0,4.0,3241.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-12-07 16:29:35,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-12-07 17:44:15.000000,2023-12-07 17:28:06,157052.0,3474.0,71947.0,7675.0,23550.0,1937.0,36495.0,181516.0,An Open Source Machine Learning Framework for Everyone.,4504.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],325239.0,325239.0,https://pypi.org/project/tensorflow,17170621.0,18349901.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4433691.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-12-07 13:48:44.999370,2240.0,75293228.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-12-07 17:57:13.000000,2023-12-07 17:48:11,67156.0,3317.0,19351.0,1687.0,76689.0,12211.0,26166.0,73318.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4523.0,54,True,2023-11-15 22:59:33,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],356224.0,356224.0,https://pypi.org/project/torch,15689039.0,16418709.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19692100.0,,,,,1.0,29057.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-12-07 17:40:21.000000,2023-12-07 16:43:35,30728.0,374.0,23973.0,2151.0,16447.0,1617.0,8943.0,56624.0,scikit-learn: machine learning in Python.,3026.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],654013.0,654013.0,https://pypi.org/project/scikit-learn,44104554.0,44701751.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-07 07:24:39.171,25679044.0,,,,,1.0,920.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-12-07 17:54:43.000000,2023-12-07 15:11:35,14664.0,726.0,22182.0,1080.0,14085.0,686.0,12777.0,116663.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2293.0,50,True,2023-11-15 16:39:42,4.35.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",119702.0,119702.0,https://pypi.org/project/transformers,18243118.0,18278707.0,https://anaconda.org/conda-forge/transformers,2023-11-17 08:43:43.342,1459187.0,,,,,1.0,,,,,,,,,,,,,
