,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,trending,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-30 18:08:27.000000,2023-10-23 18:26:19,1535.0,19.0,616.0,111.0,304.0,46.0,132.0,4257.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-21 16:58:32.000000,2023-12-21 16:58:31,293.0,26.0,155.0,51.0,175.0,,3.0,2084.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2023-12-21 16:58:37,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-21 15:57:14.000000,2023-12-21 15:57:14,311.0,27.0,221.0,88.0,175.0,4.0,4.0,3257.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-12-21 15:57:26,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-21 15:57:14.000000,2023-12-21 15:57:14,311.0,27.0,221.0,88.0,175.0,4.0,4.0,3257.0,Collection of database clients for python.,12.0,0,True,2023-12-21 15:57:26,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-21 15:57:14.000000,2023-12-21 15:57:14,311.0,27.0,221.0,88.0,175.0,4.0,4.0,3257.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-12-21 15:57:26,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-21 15:57:14.000000,2023-12-21 15:57:14,311.0,27.0,221.0,88.0,175.0,4.0,4.0,3257.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-12-21 15:57:26,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-12-21 17:54:30.000000,2023-12-21 17:54:25,157671.0,3510.0,71971.0,7661.0,23572.0,1926.0,36566.0,181789.0,An Open Source Machine Learning Framework for Everyone.,4514.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],329683.0,329683.0,https://pypi.org/project/tensorflow,17450826.0,18632864.0,https://anaconda.org/conda-forge/tensorflow,2023-12-17 20:54:02.815,4442954.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-12-21 13:48:52.713187,2241.0,75479006.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-12-21 18:00:07.000000,2023-12-21 17:57:05,67692.0,3335.0,19445.0,1681.0,77334.0,12274.0,26381.0,73773.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4548.0,54,True,2023-12-15 01:59:57,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],364202.0,364202.0,https://pypi.org/project/torch,16163428.0,16897079.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19799262.0,,,,,1.0,30056.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-12-21 17:35:24.000000,2023-12-21 14:38:23,30757.0,293.0,23989.0,2146.0,16497.0,1631.0,8957.0,56770.0,scikit-learn: machine learning in Python.,3027.0,52,True,2023-10-25 08:23:32,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],664851.0,664851.0,https://pypi.org/project/scikit-learn,45214420.0,45814214.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25790751.0,,,,,1.0,928.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-12-21 17:56:19.000000,2023-12-21 15:14:46,14799.0,762.0,22320.0,1070.0,14232.0,703.0,12901.0,117475.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2323.0,50,True,2023-12-18 18:44:02,4.36.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",123884.0,123884.0,https://pypi.org/project/transformers,19259682.0,19295534.0,https://anaconda.org/conda-forge/transformers,2023-12-19 03:00:23.210,1469953.0,,,,,1.0,,,,,,,,,,,,,
