,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-12-22 20:04:44.000000,2023-10-23 18:26:19,1535.0,5.0,621.0,110.0,305.0,47.0,132.0,4281.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-04 16:59:33.000000,2024-01-04 16:59:32,297.0,26.0,156.0,51.0,177.0,,3.0,2095.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-01-04 16:59:39,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3267.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3267.0,Collection of database clients for python.,12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3267.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3267.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-01-04 17:59:28.000000,2024-01-04 17:59:22,157936.0,3170.0,72001.0,7654.0,23591.0,1899.0,36635.0,182044.0,An Open Source Machine Learning Framework for Everyone.,4517.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],332814.0,332814.0,https://pypi.org/project/tensorflow,16423193.0,17565809.0,https://anaconda.org/conda-forge/tensorflow,2023-12-22 04:01:45.812,4449983.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-01-04 13:48:50.099999,2246.0,75634983.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-04 18:01:57.000000,2024-01-04 17:38:21,67973.0,3122.0,19513.0,1680.0,77685.0,12237.0,26561.0,74108.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4571.0,54,True,2023-12-15 01:59:57,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],370429.0,370429.0,https://pypi.org/project/torch,14722978.0,15433635.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19888494.0,,,,,1.0,31216.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-04 17:56:00.000000,2024-01-04 15:04:30,30767.0,254.0,24012.0,2149.0,16540.0,1635.0,8969.0,56950.0,scikit-learn: machine learning in Python.,3029.0,52,True,2023-10-25 08:23:32,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],673265.0,673265.0,https://pypi.org/project/scikit-learn,42514776.0,43102381.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25854183.0,,,,,1.0,930.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-01-04 17:36:21.000000,2024-01-04 17:36:16,14830.0,684.0,22455.0,1070.0,14302.0,720.0,12971.0,118125.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2333.0,50,True,2023-12-18 18:44:02,4.36.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",127161.0,127161.0,https://pypi.org/project/transformers,18251360.0,18286519.0,https://anaconda.org/conda-forge/transformers,2023-12-19 03:00:23.210,1476712.0,,,,,1.0,,,,,,,,,,,,,
