,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,new_addition,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,trending,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-12-22 20:04:44.000000,2023-10-23 18:26:19,1535.0,5.0,624.0,110.0,305.0,47.0,132.0,4290.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-04 16:59:33.000000,2024-01-04 16:59:32,297.0,26.0,157.0,51.0,177.0,,3.0,2098.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-01-04 16:59:39,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,26.0,220.0,89.0,177.0,4.0,5.0,3270.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,26.0,220.0,89.0,177.0,4.0,5.0,3270.0,Collection of database clients for python.,12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,26.0,220.0,89.0,177.0,4.0,5.0,3270.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,26.0,220.0,89.0,177.0,4.0,5.0,3270.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-04 14:11:33,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-01-09 21:14:13.000000,2024-01-09 21:14:07,158115.0,3153.0,72012.0,7655.0,23600.0,1900.0,36657.0,182123.0,An Open Source Machine Learning Framework for Everyone.,4520.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],333940.0,333940.0,https://pypi.org/project/tensorflow,16119091.0,17262562.0,https://anaconda.org/conda-forge/tensorflow,2023-12-22 04:01:45.812,4453333.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-01-09 13:48:47.701505,2246.0,75691334.0,1.0,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-09 21:15:25.000000,2024-01-09 21:13:22,68113.0,3081.0,19549.0,1679.0,77870.0,12250.0,26643.0,74236.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4578.0,54,True,2023-12-15 01:59:57,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],372761.0,372761.0,https://pypi.org/project/torch,14651867.0,15363864.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19925911.0,,,,,1.0,31570.0,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-09 20:05:11.000000,2024-01-09 20:05:11,30778.0,248.0,24027.0,2149.0,16561.0,1639.0,8970.0,57001.0,scikit-learn: machine learning in Python.,3029.0,52,True,2023-10-25 08:23:32,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],676767.0,676767.0,https://pypi.org/project/scikit-learn,41730639.0,42318914.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25883683.0,,,,,1.0,933.0,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-01-09 20:12:50.000000,2024-01-09 14:58:21,14849.0,672.0,22510.0,1070.0,14336.0,719.0,13013.0,118356.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2340.0,50,True,2023-12-18 18:44:02,4.36.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",128366.0,128366.0,https://pypi.org/project/transformers,17992564.0,18027806.0,https://anaconda.org/conda-forge/transformers,2023-12-19 03:00:23.210,1480203.0,,,,,1.0,,,,,,,,,,,,,,
