,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-14 19:20:38.000000,2024-01-10 20:21:25,1536.0,3.0,627.0,111.0,308.0,47.0,132.0,4314.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-18 16:45:05.000000,2024-01-11 18:27:24,299.0,24.0,157.0,51.0,179.0,,3.0,2101.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-01-11 18:27:30,2024.01.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 15:41:34.000000,2024-01-18 15:41:34,319.0,26.0,222.0,88.0,179.0,4.0,5.0,3277.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 15:41:34.000000,2024-01-18 15:41:34,319.0,26.0,222.0,88.0,179.0,4.0,5.0,3277.0,Collection of database clients for python.,12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 15:41:34.000000,2024-01-18 15:41:34,319.0,26.0,222.0,88.0,179.0,4.0,5.0,3277.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 15:41:34.000000,2024-01-18 15:41:34,319.0,26.0,222.0,88.0,179.0,4.0,5.0,3277.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-18 17:58:28.000000,2024-01-18 17:58:18,68446.0,3144.0,19612.0,1683.0,78314.0,12370.0,26777.0,74553.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4595.0,54,True,2023-12-15 01:59:57,2.1.2,48.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],32350.0,15788946.0,377046.0,377046.0,https://pypi.org/project/torch,15074370.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19997863.0,1.0,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-18 17:30:18.000000,2024-01-18 15:19:09,30846.0,291.0,24054.0,2148.0,16627.0,1632.0,8990.0,57103.0,scikit-learn: machine learning in Python.,3052.0,52,True,2023-10-25 08:23:32,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],933.0,43181355.0,682618.0,682618.0,https://pypi.org/project/scikit-learn,42591680.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25945292.0,1.0,,,,,,,,,,,,,,,,
8,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-01-18 17:57:10.000000,2024-01-18 17:45:44,6970.0,1614.0,10669.0,625.0,9252.0,1791.0,3845.0,74309.0,Building applications with LLMs through composability.,1861.0,48,True,2024-01-16 18:43:32,0.1.1,100.0,langchain,,,,,4312750.0,50621.0,50621.0,https://pypi.org/project/langchain,4312750.0,,,,1.0,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-01-18 14:30:06.000000,2024-01-17 21:43:27,49421.0,526.0,7134.0,590.0,17624.0,1163.0,8852.0,18748.0,matplotlib: plotting with Python.,1637.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,45307111.0,1063024.0,1063024.0,https://pypi.org/project/matplotlib,44806016.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21547092.0,1.0,,,,,,,,,,,,,,,,
