,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-14 19:20:38.000000,2024-01-10 20:21:25,1536.0,1.0,628.0,112.0,308.0,47.0,132.0,4326.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-25 17:05:15.000000,2024-01-18 23:23:41,301.0,24.0,158.0,52.0,180.0,,3.0,2110.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-01-18 23:23:48,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3287.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3287.0,Collection of database clients for python.,12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3287.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3287.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-18 15:41:39,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-01-25 17:47:14.000000,2024-01-25 17:47:08,158861.0,3246.0,72057.0,7659.0,23617.0,1901.0,36715.0,182452.0,An Open Source Machine Learning Framework for Everyone.,4533.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],337726.0,337726.0,https://pypi.org/project/tensorflow,16731922.0,17878295.0,https://anaconda.org/conda-forge/tensorflow,2024-01-21 19:21:14.956,4466423.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-01-25 13:49:05.047352,2256.0,75868908.0,1.0,41.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-25 18:00:01.000000,2024-01-25 17:53:15,68698.0,3098.0,19670.0,1684.0,78677.0,12406.0,26924.0,74795.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4610.0,54,True,2023-12-15 01:59:57,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],380527.0,380527.0,https://pypi.org/project/torch,15896075.0,16612736.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,20056098.0,,,,,1.0,,32744.0,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-25 17:42:30.000000,2024-01-25 15:57:27,30887.0,317.0,24067.0,2149.0,16694.0,1642.0,9001.0,57160.0,scikit-learn: machine learning in Python.,3062.0,52,True,2024-01-19 10:57:04,1.4.0-1,46.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],687080.0,687080.0,https://pypi.org/project/scikit-learn,44864656.0,45455541.0,https://anaconda.org/conda-forge/scikit-learn,2024-01-19 10:17:08.879,25998512.0,,,,,1.0,,935.0,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-01-25 18:02:01.000000,2024-01-25 17:55:11,14978.0,659.0,22690.0,1073.0,14496.0,731.0,13127.0,119238.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2373.0,50,True,2024-01-24 16:15:23,4.37.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",132452.0,132452.0,https://pypi.org/project/transformers,18520937.0,18556489.0,https://anaconda.org/conda-forge/transformers,2024-01-25 00:26:17.305,1493195.0,,,,,1.0,40.0,,,,,,,,,,,
