,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-31 03:41:07.000000,2024-01-10 20:21:25,1536.0,1.0,630.0,113.0,309.0,47.0,132.0,4345.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-01 16:56:00.000000,2024-02-01 16:55:59,305.0,26.0,159.0,52.0,181.0,,3.0,2119.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-02-01 16:56:08,2024.02.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-01 16:55:23.000000,2024-02-01 16:55:22,323.0,26.0,222.0,87.0,181.0,4.0,5.0,3294.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-02-01 16:55:29,2024.02.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-01 16:55:23.000000,2024-02-01 16:55:22,323.0,26.0,222.0,87.0,181.0,4.0,5.0,3294.0,Collection of database clients for python.,12.0,0,True,2024-02-01 16:55:29,2024.02.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-01 16:55:23.000000,2024-02-01 16:55:22,323.0,26.0,222.0,87.0,181.0,4.0,5.0,3294.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-02-01 16:55:29,2024.02.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-01 16:55:23.000000,2024-02-01 16:55:22,323.0,26.0,222.0,87.0,181.0,4.0,5.0,3294.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-02-01 16:55:29,2024.02.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-02-01 18:01:02.000000,2024-02-01 18:00:56,159198.0,3284.0,72059.0,7657.0,23627.0,1905.0,36736.0,182581.0,An Open Source Machine Learning Framework for Everyone.,4536.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],339391.0,339391.0,https://pypi.org/project/tensorflow,17837317.0,18948421.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4472228.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-02-01 13:48:51.780901,2259.0,75941636.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-02-01 17:55:21.000000,2024-02-01 17:53:42,68999.0,3116.0,19741.0,1688.0,79070.0,12429.0,27082.0,75019.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4625.0,54,True,2024-01-30 17:58:51,2.2.0,49.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],384187.0,384187.0,https://pypi.org/project/torch,17407202.0,18101151.0,https://anaconda.org/pytorch/pytorch,2024-01-29 16:05:11.351,20113728.0,,,,,1.0,33200.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-02-01 17:56:35.000000,2024-02-01 16:26:18,30919.0,322.0,24104.0,2147.0,16745.0,1646.0,9021.0,57223.0,scikit-learn: machine learning in Python.,3066.0,52,True,2024-01-19 10:57:04,1.4.0-1,46.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],691724.0,691724.0,https://pypi.org/project/scikit-learn,48661564.0,49240540.0,https://anaconda.org/conda-forge/scikit-learn,2024-01-19 10:17:08.879,26053520.0,,,,,1.0,939.0,,,,,,,,,,,
9,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-02-01 16:27:57.000000,2024-02-01 16:27:05,10280.0,360.0,18586.0,1912.0,6899.0,173.0,11386.0,60236.0,Deep Learning for humans.,1272.0,51,True,2024-01-20 20:12:15,3.0.4,58.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],201373.0,201373.0,https://pypi.org/project/keras,13836682.0,13913199.0,https://anaconda.org/conda-forge/keras,2024-01-21 22:53:49.247,3366761.0,,,,,1.0,,8.0,,,,,,,,,,
