,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-31 03:41:07.000000,2024-01-10 20:21:25,1536.0,1.0,630.0,113.0,309.0,47.0,132.0,4362.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-08 17:09:28.000000,2024-02-08 17:09:27,308.0,26.0,160.0,54.0,183.0,,3.0,2125.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-02-08 17:09:33,2024.02.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-08 14:08:45.000000,2024-02-08 14:08:44,325.0,26.0,222.0,87.0,182.0,4.0,5.0,3303.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-02-08 14:08:50,2024.02.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-08 14:08:45.000000,2024-02-08 14:08:44,325.0,26.0,222.0,87.0,182.0,4.0,5.0,3303.0,Collection of database clients for python.,12.0,0,True,2024-02-08 14:08:50,2024.02.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-08 14:08:45.000000,2024-02-08 14:08:44,325.0,26.0,222.0,87.0,182.0,4.0,5.0,3303.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-02-08 14:08:50,2024.02.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-08 14:08:45.000000,2024-02-08 14:08:44,325.0,26.0,222.0,87.0,182.0,4.0,5.0,3303.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-02-08 14:08:50,2024.02.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-02-08 17:46:06.000000,2024-02-08 17:46:00,159539.0,3358.0,72089.0,7659.0,23642.0,1898.0,36768.0,182823.0,An Open Source Machine Learning Framework for Everyone.,4541.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],341016.0,341016.0,https://pypi.org/project/tensorflow,18331478.0,19443760.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4478160.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-02-08 13:49:09.735696,2272.0,76013101.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-02-08 18:01:01.000000,2024-02-08 18:00:51,69281.0,3056.0,19931.0,1689.0,79486.0,12482.0,27194.0,75254.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4645.0,54,True,2024-01-30 17:58:51,2.2.0,49.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],387640.0,387640.0,https://pypi.org/project/torch,18035457.0,18731244.0,https://anaconda.org/pytorch/pytorch,2024-01-29 16:05:11.351,20166910.0,,,,,1.0,33635.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-02-08 17:59:07.000000,2024-02-08 17:54:36,30944.0,327.0,24120.0,2148.0,16773.0,1641.0,9038.0,57334.0,scikit-learn: machine learning in Python.,3069.0,52,True,2024-01-19 10:57:04,1.4.0-1,46.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],696342.0,696342.0,https://pypi.org/project/scikit-learn,50090871.0,50671109.0,https://anaconda.org/conda-forge/scikit-learn,2024-01-19 10:17:08.879,26110310.0,,,,,1.0,939.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-02-08 18:03:31.000000,2024-02-08 16:00:53,15083.0,621.0,22830.0,1078.0,14619.0,752.0,13205.0,119944.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2399.0,50,True,2024-01-29 16:11:49,4.37.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",136307.0,136307.0,https://pypi.org/project/transformers,21134301.0,21169292.0,https://anaconda.org/conda-forge/transformers,2024-02-08 05:37:41.609,1504621.0,,,,,1.0,,,,,,,,,,,,,
