,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-31 03:41:07.000,2024-01-10 20:21:25,1536.0,1.0,631.0,113.0,309.0,47.0,132.0,4374.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-15 16:50:07.000,2024-02-15 16:50:07,310.0,26.0,160.0,54.0,182.0,,3.0,2125.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-02-15 16:50:12,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3310.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-02-15 14:04:03,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3310.0,Collection of database clients for python.,12.0,0,True,2024-02-15 14:04:03,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3310.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-02-15 14:04:03,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3310.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-02-15 14:04:03,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-02-15 17:56:19.000,2024-02-15 17:56:14,159919.0,3469.0,72104.0,7658.0,23666.0,1882.0,36809.0,182962.0,An Open Source Machine Learning Framework for Everyone.,4544.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],342702.0,342702.0,https://pypi.org/project/tensorflow,18592167.0,19705567.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4483931.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-02-15 13:49:43.742553,2277.0,76079849.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-02-15 18:00:45.000,2024-02-15 16:59:50,69572.0,3060.0,19972.0,1692.0,79856.0,12564.0,27269.0,75393.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4654.0,54,True,2024-01-30 17:58:51,2.2.0,49.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],390750.0,390750.0,https://pypi.org/project/torch,18237523.0,18934866.0,https://anaconda.org/pytorch/pytorch,2024-01-29 16:05:11.351,20211923.0,,,,,1.0,33955.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-02-15 17:19:44.000,2024-02-15 14:04:02,30974.0,330.0,24130.0,2146.0,16805.0,1641.0,9048.0,57390.0,scikit-learn: machine learning in Python.,3074.0,51,True,2024-02-15 16:07:32,1.4.1.post1,46.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],700758.0,700758.0,https://pypi.org/project/scikit-learn,50688800.0,51270406.0,https://anaconda.org/conda-forge/scikit-learn,2024-01-19 10:17:08.879,26171853.0,,,,,1.0,940.0,-1.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-02-15 17:56:09.000,2024-02-15 17:26:33,15125.0,595.0,22894.0,1079.0,14681.0,742.0,13264.0,120158.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2409.0,50,True,2024-01-29 16:11:49,4.37.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",138079.0,138079.0,https://pypi.org/project/transformers,21805729.0,21840860.0,https://anaconda.org/conda-forge/transformers,2024-02-08 05:37:41.609,1510657.0,,,,,1.0,,,,,,,,,,,,,
