,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-19 08:45:34.000,2024-03-19 08:45:33,1542.0,7.0,643.0,115.0,315.0,49.0,136.0,4470.0,Benchmarks of approximate nearest neighbor libraries in Python.,101.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-21 16:30:24.000,2024-03-14 17:35:21,319.0,26.0,158.0,54.0,190.0,,3.0,2142.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-14 17:35:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,Collection of database clients for python.,12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-21 18:00:05.000,2024-03-21 17:59:45,161877.0,4102.0,72197.0,7647.0,24684.0,1951.0,36948.0,183796.0,An Open Source Machine Learning Framework for Everyone.,4575.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],352304.0,352304.0,https://pypi.org/project/tensorflow,22084620.0,23171176.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4509954.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-03-21 12:52:37.902309,2334.0,76441787.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-21 17:59:50.000,2024-03-21 17:14:42,70843.0,3113.0,20303.0,1695.0,81450.0,12846.0,27808.0,76776.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4730.0,54,True,2024-02-22 21:15:00,2.2.1,50.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],411220.0,411220.0,https://pypi.org/project/torch,22923696.0,23608206.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20523186.0,,,,,1.0,36360.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-21 17:02:35.000,2024-03-21 11:37:20,31125.0,367.0,24218.0,2143.0,16970.0,1633.0,9123.0,57728.0,scikit-learn: machine learning in Python.,3093.0,51,True,2024-02-15 16:07:32,1.4.1.post1,47.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],727312.0,727312.0,https://pypi.org/project/scikit-learn,62781473.0,63359471.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26587495.0,,,,,1.0,942.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-21 17:57:16.000,2024-03-21 16:37:33,15420.0,607.0,23360.0,1087.0,15096.0,790.0,13538.0,122554.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2483.0,50,True,2024-03-21 01:18:35,4.39.0,104.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",149331.0,149331.0,https://pypi.org/project/transformers,22502975.0,22538062.0,https://anaconda.org/conda-forge/transformers,2024-03-21 05:36:57.208,1543831.0,,,,,1.0,,,,,,,,,,,,
