,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-26 14:22:58.000,2024-03-19 08:45:33,1542.0,7.0,645.0,115.0,316.0,52.0,136.0,4489.0,Benchmarks of approximate nearest neighbor libraries in Python.,101.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-29 10:49:05.000,2024-03-29 10:49:05,323.0,28.0,158.0,54.0,191.0,,3.0,2144.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-29 10:49:14,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-29 11:34:23.000,2024-03-29 11:34:23,339.0,26.0,224.0,87.0,189.0,4.0,5.0,3377.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-29 11:34:37,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-29 11:34:23.000,2024-03-29 11:34:23,339.0,26.0,224.0,87.0,189.0,4.0,5.0,3377.0,Collection of database clients for python.,12.0,0,True,2024-03-29 11:34:37,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-29 11:34:23.000,2024-03-29 11:34:23,339.0,26.0,224.0,87.0,189.0,4.0,5.0,3377.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-29 11:34:37,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-29 11:34:23.000,2024-03-29 11:34:23,339.0,26.0,224.0,87.0,189.0,4.0,5.0,3377.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-29 11:34:37,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-29 15:50:32.000,2024-03-29 10:34:11,162247.0,4398.0,72211.0,7644.0,25183.0,1886.0,37061.0,183962.0,An Open Source Machine Learning Framework for Everyone.,4581.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],354309.0,354309.0,https://pypi.org/project/tensorflow,22935700.0,24023947.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4519702.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-03-28 12:51:55.886558,2347.0,76541260.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-29 15:49:08.000,2024-03-29 14:11:09,71161.0,3325.0,20380.0,1696.0,81841.0,12779.0,28027.0,77027.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4744.0,55,True,2024-03-27 22:27:02,2.2.2,51.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],415482.0,415482.0,https://pypi.org/project/torch,24207160.0,24895467.0,https://anaconda.org/pytorch/pytorch,2024-03-26 22:24:03.907,20636903.0,,,,,1.0,36991.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-29 15:11:37.000,2024-03-29 10:38:49,31146.0,386.0,24226.0,2141.0,16999.0,1632.0,9139.0,57810.0,scikit-learn: machine learning in Python.,3097.0,51,True,2024-02-15 16:07:32,1.4.1.post1,47.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],733620.0,733620.0,https://pypi.org/project/scikit-learn,64540477.0,65127675.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,27010720.0,,,,,1.0,944.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-29 16:03:00.000,2024-03-29 14:31:31,15475.0,659.0,23500.0,1089.0,15187.0,794.0,13613.0,123301.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2503.0,50,True,2024-03-28 17:36:27,4.39.2,106.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",151721.0,151721.0,https://pypi.org/project/transformers,23276027.0,23311435.0,https://anaconda.org/conda-forge/transformers,2024-03-29 00:55:22.932,1557959.0,,,,,1.0,,,,,,,,,,,,,
