,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-16 12:28:46.000,2024-04-15 22:07:23,1551.0,15.0,657.0,116.0,324.0,53.0,136.0,4571.0,Benchmarks of approximate nearest neighbor libraries in Python.,103.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-18 17:08:05.000,2024-04-18 17:08:04,332.0,31.0,161.0,54.0,197.0,,3.0,2164.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-04-18 17:08:10,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-04-18 13:49:04,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,Collection of database clients for python.,12.0,0,True,2024-04-18 13:49:04,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-04-18 13:49:04,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-18 13:49:04,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-04-18 17:55:14.000,2024-04-18 17:35:55,163104.0,4442.0,72311.0,7641.0,26303.0,1933.0,37161.0,184699.0,An Open Source Machine Learning Framework for Everyone.,4586.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],360588.0,360588.0,https://pypi.org/project/tensorflow,22454627.0,23518818.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4549148.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-04-18 12:49:27.996701,2377.0,76852415.0,1.0,-1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-04-18 17:59:44.000,2024-04-18 17:40:13,71941.0,3431.0,20524.0,1697.0,82817.0,12961.0,28316.0,77642.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4786.0,55,True,2024-03-27 22:27:02,2.2.2,51.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],428757.0,428757.0,https://pypi.org/project/torch,27287478.0,27963549.0,https://anaconda.org/pytorch/pytorch,2024-03-26 22:24:03.907,20945100.0,,,,,1.0,,38539.0,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-04-18 16:16:23.000,2024-04-18 10:18:08,31219.0,366.0,24248.0,2140.0,17092.0,1575.0,9226.0,58036.0,scikit-learn: machine learning in Python.,3106.0,52,True,2024-04-09 20:07:22,1.4.2,48.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],751012.0,751012.0,https://pypi.org/project/scikit-learn,64492557.0,65079715.0,https://anaconda.org/conda-forge/scikit-learn,2024-04-11 09:12:54.843,27596026.0,,,,,1.0,,948.0,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-04-18 18:00:57.000,2024-04-18 17:46:46,15643.0,700.0,23746.0,1092.0,15404.0,810.0,13744.0,124539.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2536.0,51,True,2024-04-18 14:01:56,4.40.0,107.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",158874.0,158874.0,https://pypi.org/project/transformers,25107709.0,25143224.0,https://anaconda.org/conda-forge/transformers,2024-04-02 14:17:57.574,1598194.0,,,,,1.0,,,,,,,,,,,,
