,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-05-16 10:19:16.000000,2024-05-16 10:19:16,1557.0,21.0,670.0,117.0,328.0,51.0,142.0,4644.0,Benchmarks of approximate nearest neighbor libraries in Python.,104.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-16 17:19:41.000000,2024-05-16 17:19:41,340.0,30.0,162.0,56.0,201.0,,3.0,2192.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-05-16 17:19:46,2024.05.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-16 17:16:29.000000,2024-05-16 17:16:29,353.0,26.0,234.0,87.0,196.0,4.0,5.0,3457.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-05-16 17:16:34,2024.05.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-16 17:16:29.000000,2024-05-16 17:16:29,353.0,26.0,234.0,87.0,196.0,4.0,5.0,3457.0,Collection of database clients for python.,12.0,0,True,2024-05-16 17:16:34,2024.05.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-16 17:16:29.000000,2024-05-16 17:16:29,353.0,26.0,234.0,87.0,196.0,4.0,5.0,3457.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-05-16 17:16:34,2024.05.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-16 17:16:29.000000,2024-05-16 17:16:29,353.0,26.0,234.0,87.0,196.0,4.0,5.0,3457.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-05-16 17:16:34,2024.05.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-05-16 17:53:52.000000,2024-05-16 17:47:38,164608.0,4510.0,72340.0,7634.0,27913.0,1955.0,37268.0,185263.0,An Open Source Machine Learning Framework for Everyone.,4603.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],369760.0,369760.0,https://pypi.org/project/tensorflow,23037029.0,24081052.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4605930.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-05-16 12:50:06.935265,2408.0,77127665.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-05-16 17:48:35.000000,2024-05-16 17:34:01,73112.0,3465.0,20715.0,1713.0,84168.0,13002.0,28917.0,78511.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4851.0,55,True,2024-04-24 16:12:17,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],447450.0,447450.0,https://pypi.org/project/torch,28933536.0,29603792.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21433843.0,,,,,1.0,41389.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-05-16 18:02:56.000000,2024-05-16 16:06:21,15899.0,759.0,24009.0,1097.0,15720.0,844.0,13933.0,126156.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2575.0,52,True,2024-05-06 16:09:45,4.40.2,110.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",169132.0,169132.0,https://pypi.org/project/transformers,27641839.0,27678080.0,https://anaconda.org/conda-forge/transformers,2024-05-07 05:35:22.641,1667117.0,,,,,1.0,,1.0,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-05-16 17:28:01.000000,2024-05-16 13:47:35,31303.0,322.0,24298.0,2141.0,17189.0,1583.0,9285.0,58310.0,scikit-learn: machine learning in Python.,3117.0,52,True,2024-04-09 20:07:22,1.4.2,49.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],775426.0,775426.0,https://pypi.org/project/scikit-learn,67303273.0,67891813.0,https://anaconda.org/conda-forge/scikit-learn,2024-05-16 14:53:15.431,28249528.0,,,,,1.0,953.0,,,,,,,,,,,
