,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-06-17 07:53:57.000000,2024-06-17 07:53:57,1562.0,16.0,684.0,116.0,333.0,59.0,144.0,4737.0,Benchmarks of approximate nearest neighbor libraries in Python.,107.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,20.0,163.0,56.0,205.0,,3.0,2231.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,18.0,237.0,91.0,199.0,4.0,5.0,3520.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,18.0,237.0,91.0,199.0,4.0,5.0,3520.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,18.0,237.0,91.0,199.0,4.0,5.0,3520.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,18.0,237.0,91.0,199.0,4.0,5.0,3520.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-07-04 17:55:07.000000,2024-07-04 17:46:32,166537.0,3974.0,72452.0,7619.0,30795.0,1888.0,37564.0,186345.0,An Open Source Machine Learning Framework for Everyone.,4627.0,56,True,2024-06-28 18:56:30,2.16.2,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],385850.0,385850.0,https://pypi.org/project/tensorflow,18225162.0,19069092.0,https://anaconda.org/conda-forge/tensorflow,2024-07-01 21:24:08.952,4736047.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-07-04 12:49:28.114632,2461.0,77507377.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-07-04 18:01:32.000000,2024-07-04 17:55:20,75168.0,3751.0,21065.0,1729.0,86773.0,13247.0,29755.0,80092.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4951.0,55,True,2024-06-05 19:16:07,2.3.1,53.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],480273.0,480273.0,https://pypi.org/project/torch,26032363.0,26690067.0,https://anaconda.org/pytorch/pytorch,2024-06-04 13:27:13.152,22345248.0,,,,,1.0,46215.0,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-07-04 17:20:51.000000,2024-07-04 17:20:49,16267.0,742.0,24512.0,1100.0,16247.0,910.0,14223.0,128576.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2660.0,52,True,2024-06-28 15:35:36,4.42.3,116.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",187859.0,187859.0,https://pypi.org/project/transformers,26232241.0,26269675.0,https://anaconda.org/conda-forge/transformers,2024-06-28 20:09:06.897,1796861.0,,,,,1.0,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-07-04 18:01:39.000000,2024-07-04 14:54:11,31474.0,312.0,24414.0,2137.0,17438.0,1567.0,9414.0,58797.0,scikit-learn: machine learning in Python.,3137.0,52,True,2024-07-03 09:17:35,1.5.1,51.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],821343.0,821343.0,https://pypi.org/project/scikit-learn,60869547.0,61455513.0,https://anaconda.org/conda-forge/scikit-learn,2024-07-03 09:49:53.256,29297879.0,,,,,1.0,972.0,,,,,,,,,,,,
