,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-08-06 12:14:15.000,2024-08-02 03:16:13,1565.0,12.0,690.0,116.0,335.0,60.0,144.0,4785.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000,2024-06-06 19:06:33,346.0,8.0,165.0,57.0,205.0,,3.0,2265.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000,2024-06-06 14:07:06,359.0,8.0,241.0,92.0,199.0,4.0,5.0,3565.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000,2024-06-06 14:07:06,359.0,8.0,241.0,92.0,199.0,4.0,5.0,3565.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000,2024-06-06 14:07:06,359.0,8.0,241.0,92.0,199.0,4.0,5.0,3565.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000,2024-06-06 14:07:06,359.0,8.0,241.0,92.0,199.0,4.0,5.0,3565.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-08-08 17:58:05.000,2024-08-08 17:33:57,76878.0,4003.0,21308.0,1742.0,88657.0,13648.0,30342.0,81139.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5036.0,56,True,2024-07-24 18:39:28,2.4.0,54.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],52033.0,32524602.0,502050.0,502050.0,https://pypi.org/project/torch,31867623.0,https://anaconda.org/pytorch/pytorch,2024-07-23 12:40:36.851,22975120.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-08-08 17:59:44.000,2024-08-08 17:42:04,168084.0,3791.0,72510.0,7607.0,33164.0,1862.0,37731.0,187104.0,An Open Source Machine Learning Framework for Everyone.,4655.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,19671069.0,397206.0,397206.0,https://pypi.org/project/tensorflow,18831462.0,https://anaconda.org/conda-forge/tensorflow,2024-07-24 18:34:52.924,4834108.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-08-08 12:48:08.213565,2507.0,77800017.0,-1.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-08-08 18:03:35.000,2024-08-08 17:13:40,16564.0,716.0,24901.0,1117.0,16673.0,955.0,14478.0,130336.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2740.0,52,True,2024-08-06 18:39:34,4.44.0,122.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,32675711.0,201122.0,201122.0,https://pypi.org/project/transformers,32636800.0,https://anaconda.org/conda-forge/transformers,2024-08-07 03:52:55.663,1906639.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-08-08 17:59:52.000,2024-08-06 13:54:13,31583.0,304.0,24481.0,2142.0,17562.0,1580.0,9486.0,59129.0,scikit-learn: machine learning in Python.,3155.0,52,True,2024-07-03 09:17:35,1.5.1,51.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],998.0,73478120.0,853027.0,853027.0,https://pypi.org/project/scikit-learn,72889115.0,https://anaconda.org/conda-forge/scikit-learn,2024-07-03 09:49:53.256,30038824.0,1.0,,,,,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-08-08 17:55:47.000,2024-08-08 17:47:42,10822.0,1570.0,14032.0,675.0,14162.0,632.0,6704.0,90413.0,Build context-aware reasoning applications.,2743.0,49,True,2024-08-07 17:56:11,langchain-openai==0.1.21rc2,100.0,langchain,,,,,13104819.0,112577.0,112577.0,https://pypi.org/project/langchain,13104819.0,,,,1.0,,,,,,,,,,,,,,,,
