,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-08-06 12:14:15.000,2024-08-02 03:16:13,1565.0,8.0,692.0,116.0,335.0,61.0,145.0,4804.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000,2024-06-06 19:06:33,346.0,6.0,165.0,57.0,205.0,,3.0,2263.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3571.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3571.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3571.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3571.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-08-15 18:00:13.000,2024-08-15 17:58:44,77129.0,3939.0,21357.0,1742.0,89076.0,13678.0,30472.0,81335.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5049.0,56,True,2024-07-24 18:39:28,2.4.0,54.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],52889.0,34537629.0,506040.0,506040.0,https://pypi.org/project/torch,33877846.0,https://anaconda.org/pytorch/pytorch,2024-07-23 12:40:36.851,23072953.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-08-15 17:57:45.000,2024-08-15 17:56:38,168375.0,3650.0,72520.0,7605.0,33605.0,1825.0,37803.0,187220.0,An Open Source Machine Learning Framework for Everyone.,4658.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,19696371.0,399362.0,399362.0,https://pypi.org/project/tensorflow,18855863.0,https://anaconda.org/conda-forge/tensorflow,2024-07-24 18:34:52.924,4851215.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-08-15 12:48:46.430450,2512.0,77858015.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-08-15 18:04:17.000,2024-08-15 17:03:18,16606.0,697.0,24954.0,1118.0,16917.0,973.0,14506.0,130580.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2751.0,52,True,2024-08-06 18:39:34,4.44.0,122.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,33577813.0,203528.0,203528.0,https://pypi.org/project/transformers,33538437.0,https://anaconda.org/conda-forge/transformers,2024-08-07 03:52:55.663,1929461.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-08-15 12:12:03.000,2024-08-15 08:17:07,31602.0,293.0,24492.0,2141.0,17585.0,1574.0,9507.0,59167.0,scikit-learn: machine learning in Python.,3161.0,52,True,2024-07-03 09:17:35,1.5.1,51.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1016.0,75529114.0,859105.0,859105.0,https://pypi.org/project/scikit-learn,74936960.0,https://anaconda.org/conda-forge/scikit-learn,2024-07-03 09:49:53.256,30199350.0,1.0,,,,,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-08-15 17:50:58.000,2024-08-15 17:50:57,10951.0,1559.0,14100.0,678.0,14327.0,629.0,6757.0,90733.0,Build context-aware reasoning applications.,2759.0,49,True,2024-08-15 00:06:34,langchain==0.2.14,100.0,langchain,,,,,13737058.0,115015.0,115015.0,https://pypi.org/project/langchain,13737058.0,,,,1.0,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-08-15 15:47:37.000,2024-08-15 11:36:36,50917.0,529.0,7367.0,596.0,18271.0,1206.0,9226.0,19812.0,matplotlib: plotting with Python.,1712.0,48,True,2024-08-13 00:10:52,3.9.2,87.0,matplotlib,conda-forge/matplotlib,,,,71490498.0,1296774.0,1296774.0,https://pypi.org/project/matplotlib,70984935.0,https://anaconda.org/conda-forge/matplotlib,2024-08-04 01:16:35.235,25278150.0,1.0,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-08-15 17:27:13.000,2024-08-15 13:06:42,18291.0,454.0,2075.0,220.0,4996.0,81.0,3052.0,12008.0,Python Imaging Library (Fork).,474.0,48,True,2024-07-01 09:51:39,10.4.0,56.0,Pillow,conda-forge/pillow,,,,113877375.0,1783778.0,1783778.0,https://pypi.org/project/Pillow,113003402.0,https://anaconda.org/conda-forge/pillow,2024-07-02 08:21:06.154,42824678.0,1.0,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-08-15 17:14:34.000,2024-08-13 14:15:38,58568.0,760.0,4294.0,292.0,13332.0,4401.0,8823.0,12684.0,A computer algebra system written in pure Python.,1319.0,47,True,2024-08-11 16:59:00,1.13.2,54.0,sympy,conda-forge/sympy,,,546179.0,28046332.0,160826.0,160826.0,https://pypi.org/project/sympy,27918816.0,https://anaconda.org/conda-forge/sympy,2024-08-12 22:08:15.340,6293920.0,1.0,,,,,,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-08-15 17:34:20.000,2024-08-15 16:14:10,6545.0,215.0,2919.0,314.0,4748.0,887.0,3536.0,34006.0,Streamlit A faster way to build and share data apps.,237.0,46,True,2024-08-05 18:59:25,1.37.1,82.0,streamlit,,,,,5380836.0,473188.0,473188.0,https://pypi.org/project/streamlit,5380836.0,,,,1.0,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-08-15 18:08:30.000,2024-08-15 18:08:30,22404.0,764.0,5423.0,475.0,28662.0,3415.0,14784.0,32659.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1055.0,45,True,2024-07-31 18:02:13,ray-2.34.0,92.0,ray,conda-forge/ray-tune,,,233.0,4027879.0,17211.0,17211.0,https://pypi.org/project/ray,4020862.0,https://anaconda.org/conda-forge/ray-tune,2024-07-26 09:56:38.166,308660.0,1.0,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-08-15 17:15:36.000,2024-08-15 17:15:33,22495.0,1722.0,2649.0,325.0,14902.0,1295.0,4124.0,29484.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",735.0,45,True,2024-07-30 00:10:18,jax-v0.4.31,100.0,jax,conda-forge/jaxlib,,,,3460096.0,28813.0,28813.0,https://pypi.org/project/jax,3429785.0,https://anaconda.org/conda-forge/jaxlib,2024-08-02 04:00:13.984,1515587.0,1.0,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-08-15 14:44:53.000,2024-08-15 13:41:59,7032.0,190.0,8193.0,912.0,5452.0,397.0,4849.0,25975.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",648.0,45,True,2024-07-30 22:22:27,2.1.1,59.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,10310.0,20537992.0,103207.0,103207.0,https://pypi.org/project/xgboost,20433464.0,https://anaconda.org/conda-forge/xgboost,2024-07-31 20:50:37.242,5117900.0,1.0,,,,,,,,,,,,,,,,
