,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000,2024-09-02 06:22:28,1567.0,5.0,704.0,118.0,338.0,63.0,145.0,4893.0,Benchmarks of approximate nearest neighbor libraries in Python.,107.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000,2024-06-06 19:06:33,346.0,,168.0,58.0,205.0,,3.0,2298.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,246.0,93.0,199.0,5.0,6.0,3643.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,246.0,93.0,199.0,5.0,6.0,3643.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,246.0,93.0,199.0,5.0,6.0,3643.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,246.0,93.0,199.0,5.0,6.0,3643.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-10-10 18:01:14.000,2024-10-10 17:44:40,79355.0,3873.0,21850.0,1739.0,91779.0,13983.0,31578.0,82828.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5165.0,56,True,2024-09-04 19:59:29,2.4.1,55.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],60059.0,35139860.0,541336.0,541336.0,https://pypi.org/project/torch,34493064.0,https://anaconda.org/pytorch/pytorch,2024-09-03 16:47:49.313,23908557.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-10-10 18:00:14.000,2024-10-10 18:00:05,170664.0,3684.0,72658.0,7593.0,37063.0,1542.0,38310.0,188471.0,An Open Source Machine Learning Framework for Everyone.,4690.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18563207.0,416507.0,416507.0,https://pypi.org/project/tensorflow,17733716.0,https://anaconda.org/conda-forge/tensorflow,2024-08-31 23:00:17.783,4999139.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-10-10 12:48:38.900859,2570.0,78267200.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-10-10 18:09:04.000,2024-10-10 18:09:04,17134.0,801.0,25570.0,1118.0,17736.0,1008.0,14882.0,133176.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2872.0,52,True,2024-10-07 17:42:52,4.45.2,127.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,37770297.0,225100.0,225100.0,https://pypi.org/project/transformers,37729029.0,https://anaconda.org/conda-forge/transformers,2024-10-07 23:40:09.014,2104697.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-10-10 13:45:26.000,2024-10-10 13:45:26,31766.0,256.0,24597.0,2140.0,17850.0,1555.0,9611.0,59718.0,scikit-learn: machine learning in Python.,3193.0,52,True,2024-09-11 15:52:05,1.5.2,52.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1027.0,79875389.0,911597.0,911597.0,https://pypi.org/project/scikit-learn,79283072.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31392273.0,1.0,,,,,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-10-10 18:03:10.000,2024-10-10 18:03:10,11591.0,1248.0,14711.0,684.0,15415.0,550.0,7154.0,93291.0,Build context-aware reasoning applications.,2877.0,49,True,2024-10-09 06:40:15,langchain-community==0.3.2,100.0,langchain,,,,,16244766.0,134553.0,134553.0,https://pypi.org/project/langchain,16244766.0,,,,1.0,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-10-10 15:09:03.000,2024-10-10 15:09:03,51168.0,462.0,7427.0,595.0,18422.0,1202.0,9310.0,20089.0,matplotlib: plotting with Python.,1731.0,48,True,2024-08-13 00:10:52,3.9.2,87.0,matplotlib,conda-forge/matplotlib,,,,85153167.0,1365150.0,1365150.0,https://pypi.org/project/matplotlib,84648814.0,https://anaconda.org/conda-forge/matplotlib,2024-09-12 20:10:05.995,26226397.0,1.0,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-10-10 11:51:07.000,2024-10-10 11:50:26,18686.0,533.0,2083.0,219.0,5109.0,78.0,3082.0,12163.0,Python Imaging Library (Fork).,479.0,48,True,2024-07-01 09:51:39,10.4.0,56.0,Pillow,conda-forge/pillow,,,,131148092.0,1858566.0,1858566.0,https://pypi.org/project/Pillow,130266038.0,https://anaconda.org/conda-forge/pillow,2024-09-11 18:35:06.338,44984754.0,1.0,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-10-09 14:38:28.134,2024-10-09 14:04:03,58999.0,656.0,4341.0,291.0,13440.0,4419.0,8873.0,12864.0,A computer algebra system written in pure Python.,1330.0,47,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,548944.0,30417703.0,177027.0,177027.0,https://pypi.org/project/sympy,30285837.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,6773401.0,1.0,,,,,,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-10-10 18:17:59.000,2024-10-10 08:05:47,6708.0,239.0,2996.0,318.0,4959.0,923.0,3647.0,35029.0,Streamlit A faster way to build and share data apps.,242.0,46,True,2024-10-01 17:36:45,1.39.0,84.0,streamlit,,,,,7212499.0,538944.0,538944.0,https://pypi.org/project/streamlit,7212499.0,,,,1.0,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-10-09 10:21:36.000,2024-10-09 10:21:36,7126.0,164.0,8217.0,909.0,5582.0,389.0,4898.0,26176.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",652.0,46,True,2024-07-30 22:22:27,2.1.1,59.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,11182.0,27159380.0,110805.0,110805.0,https://pypi.org/project/xgboost,27055001.0,https://anaconda.org/conda-forge/xgboost,2024-09-29 19:48:48.053,5318854.0,1.0,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-10-10 18:13:14.000,2024-10-10 18:13:14,22760.0,613.0,5546.0,476.0,29161.0,3542.0,14975.0,33367.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1078.0,45,True,2024-09-24 23:37:52,ray-2.37.0,96.0,ray,conda-forge/ray-tune,,,240.0,6091828.0,18245.0,18245.0,https://pypi.org/project/ray,6082633.0,https://anaconda.org/conda-forge/ray-tune,2024-10-01 08:55:53.218,422878.0,1.0,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-10-10 16:07:51.000,2024-10-10 16:07:44,23510.0,1662.0,2716.0,335.0,15787.0,1387.0,4216.0,30164.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",762.0,45,True,2024-10-04 14:51:10,jax-v0.4.34,100.0,jax,conda-forge/jaxlib,,,,4047504.0,30961.0,30961.0,https://pypi.org/project/jax,4014236.0,https://anaconda.org/conda-forge/jaxlib,2024-10-02 23:05:15.613,1729937.0,1.0,,,,,,jax-ml/jax,,,,,,,,,,
