,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000000,2024-09-02 06:22:28,1567.0,4.0,707.0,118.0,338.0,64.0,145.0,4909.0,Benchmarks of approximate nearest neighbor libraries in Python.,107.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,169.0,58.0,205.0,,3.0,2304.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,247.0,93.0,199.0,5.0,6.0,3655.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,247.0,93.0,199.0,5.0,6.0,3655.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,247.0,93.0,199.0,5.0,6.0,3655.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,247.0,93.0,199.0,5.0,6.0,3655.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-10-17 18:01:13.000000,2024-10-17 17:51:31,79646.0,3854.0,21909.0,1741.0,92161.0,14007.0,31689.0,83023.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5183.0,56,True,2024-10-17 16:26:53,2.5.0,56.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],60849.0,36012212.0,546259.0,546259.0,https://pypi.org/project/torch,35362280.0,https://anaconda.org/pytorch/pytorch,2024-10-16 16:20:15.870,24024318.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-10-17 18:00:50.000000,2024-10-17 17:59:49,171024.0,3745.0,72675.0,7592.0,37574.0,1489.0,38395.0,188654.0,An Open Source Machine Learning Framework for Everyone.,4696.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18866488.0,418737.0,418737.0,https://pypi.org/project/tensorflow,18036244.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5015940.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-10-17 12:54:39.138192,2578.0,78312565.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-10-17 17:42:10.000000,2024-10-17 15:53:48,17185.0,800.0,25648.0,1117.0,17814.0,1006.0,14926.0,133517.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2887.0,52,True,2024-10-07 17:42:52,4.45.2,127.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,42056261.0,228071.0,228071.0,https://pypi.org/project/transformers,42014579.0,https://anaconda.org/conda-forge/transformers,2024-10-11 17:33:47.809,2125816.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-10-17 17:18:28.000000,2024-10-17 17:18:28,31808.0,281.0,24613.0,2140.0,17880.0,1549.0,9631.0,59785.0,scikit-learn: machine learning in Python.,3199.0,52,True,2024-09-11 15:52:05,1.5.2,52.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1027.0,82151362.0,918529.0,918529.0,https://pypi.org/project/scikit-learn,81556213.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31542398.0,1.0,,,,,,,,,,,,,,,,
