,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000000,2024-10-29 08:34:20,1568.0,1.0,715.0,118.0,341.0,65.0,151.0,4999.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,173.0,58.0,205.0,,3.0,2351.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,95.0,199.0,5.0,6.0,3728.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,95.0,199.0,5.0,6.0,3728.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,95.0,199.0,5.0,6.0,3728.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,95.0,199.0,5.0,6.0,3728.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-12-05 18:00:56.000000,2024-12-05 17:57:49,173065.0,3762.0,72760.0,7558.0,40608.0,1074.0,38998.0,189337.0,An Open Source Machine Learning Framework for Everyone.,4731.0,55,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],437429.0,437429.0,https://pypi.org/project/tensorflow,22124274.0,22942328.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5141147.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-12-05 13:48:33.371252,2633.0,78594736.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-12-05 17:54:08.000000,2024-12-05 17:53:58,81800.0,3611.0,22331.0,1743.0,94729.0,14375.0,32651.0,84759.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5288.0,55,True,2024-10-29 17:58:24,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],584816.0,584816.0,https://pypi.org/project/torch,34243939.0,34881568.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,24840922.0,,,,,1.0,67668.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-12-05 18:03:35.000000,2024-12-05 17:15:48,17522.0,744.0,26157.0,1125.0,18333.0,975.0,15288.0,135909.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2950.0,52,True,2024-12-05 17:45:28,4.47.0,131.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",250946.0,250946.0,https://pypi.org/project/transformers,46484781.0,46527970.0,https://anaconda.org/conda-forge/transformers,2024-11-19 01:57:44.980,2289036.0,,,,,1.0,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-12-05 13:28:36.000000,2024-12-05 13:28:36,31973.0,311.0,24716.0,2140.0,18083.0,1546.0,9732.0,60348.0,scikit-learn: machine learning in Python.,3227.0,51,True,2024-09-11 15:52:05,1.5.2,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],975168.0,975168.0,https://pypi.org/project/scikit-learn,,592349.0,https://anaconda.org/conda-forge/scikit-learn,2024-11-15 14:22:02.851,32578733.0,,,,,1.0,1032.0,,,,,,,,,,,
