,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000000,2024-10-29 08:34:20,1568.0,1.0,715.0,118.0,341.0,65.0,151.0,5007.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,173.0,58.0,205.0,,3.0,2353.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,96.0,199.0,5.0,6.0,3733.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,96.0,199.0,5.0,6.0,3733.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,96.0,199.0,5.0,6.0,3733.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,250.0,96.0,199.0,5.0,6.0,3733.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-12-09 20:59:09.000000,2024-12-09 20:58:57,173212.0,3760.0,72762.0,7556.0,40817.0,1040.0,39032.0,189389.0,An Open Source Machine Learning Framework for Everyone.,4734.0,55,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],439160.0,439160.0,https://pypi.org/project/tensorflow,22871170.0,23689635.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5150442.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-12-09 13:48:28.107797,2636.0,78620377.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-12-09 20:58:46.000000,2024-12-09 20:58:35,81962.0,3662.0,22356.0,1743.0,94918.0,14389.0,32712.0,84852.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5299.0,55,True,2024-10-29 17:58:24,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],588339.0,588339.0,https://pypi.org/project/torch,33305540.0,33944763.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,24902904.0,,,,,1.0,68082.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-12-09 17:45:36.628000,2024-12-09 17:09:09,31987.0,310.0,24725.0,2141.0,18105.0,1548.0,9737.0,60398.0,scikit-learn: machine learning in Python.,3229.0,53,True,2024-12-09 18:30:05,1.6.0,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],980437.0,980437.0,https://pypi.org/project/scikit-learn,78843759.0,79437511.0,https://anaconda.org/conda-forge/scikit-learn,2024-12-09 17:45:36.628,32655876.0,,,,,1.0,1034.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-12-09 18:55:19.000000,2024-12-09 18:55:16,17538.0,745.0,26208.0,1125.0,18373.0,988.0,15303.0,136073.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2953.0,52,True,2024-12-05 17:45:28,4.47.0,132.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",253055.0,253055.0,https://pypi.org/project/transformers,45481691.0,45525114.0,https://anaconda.org/conda-forge/transformers,2024-12-09 01:48:24.491,2301440.0,,,,,1.0,,,,,,,,,,,,,
