,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000000,2024-10-29 08:34:20,1568.0,1.0,715.0,119.0,341.0,65.0,151.0,5010.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,173.0,58.0,205.0,,3.0,2355.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3735.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3735.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3735.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3735.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-12-12 17:59:10.000000,2024-12-12 16:45:44,173420.0,3811.0,72771.0,7556.0,41103.0,1004.0,39076.0,189449.0,An Open Source Machine Learning Framework for Everyone.,4739.0,56,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],440677.0,440677.0,https://pypi.org/project/tensorflow,23724374.0,24543164.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5157125.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-12-12 13:48:21.835496,2637.0,78641984.0,1.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-12-12 17:57:48.000000,2024-12-12 17:48:30,82174.0,3711.0,22377.0,1745.0,95121.0,14767.0,32845.0,84949.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5312.0,55,True,2024-10-29 17:58:24,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],591152.0,591152.0,https://pypi.org/project/torch,34205483.0,34845999.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,24953178.0,,,,,1.0,,68430.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-12-12 15:44:55.000000,2024-12-12 15:44:54,31995.0,308.0,24735.0,2143.0,18122.0,1554.0,9741.0,60430.0,scikit-learn: machine learning in Python.,3230.0,53,True,2024-12-09 18:30:05,1.6.0,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],984598.0,984598.0,https://pypi.org/project/scikit-learn,80932796.0,81527973.0,https://anaconda.org/conda-forge/scikit-learn,2024-12-09 17:45:36.628,32734286.0,,,,,1.0,,1034.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-12-12 15:48:25.000000,2024-12-12 15:05:04,17565.0,743.0,26233.0,1123.0,18423.0,979.0,15330.0,136202.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2964.0,52,True,2024-12-05 17:45:28,4.47.0,132.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",254724.0,254724.0,https://pypi.org/project/transformers,47463760.0,47507427.0,https://anaconda.org/conda-forge/transformers,2024-12-11 20:16:17.177,2314357.0,,,,,1.0,,,,,,,,,,,,,
