,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000000,2024-10-29 08:34:20,1568.0,1.0,718.0,119.0,341.0,66.0,151.0,5018.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,173.0,58.0,205.0,,3.0,2361.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3742.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3742.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3742.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,251.0,96.0,199.0,5.0,6.0,3742.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-12-19 17:58:29.000000,2024-12-19 16:56:27,173747.0,3838.0,72789.0,7550.0,41578.0,982.0,39117.0,189520.0,An Open Source Machine Learning Framework for Everyone.,4747.0,57,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],443564.0,443564.0,https://pypi.org/project/tensorflow,23550736.0,24370320.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5173482.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-12-16 13:48:51.895865,2641.0,78694990.0,1.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-12-19 18:01:11.000000,2024-12-19 18:01:01,82446.0,3802.0,22439.0,1750.0,95456.0,14747.0,32986.0,85142.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5329.0,55,True,2024-10-29 17:58:24,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],597192.0,597192.0,https://pypi.org/project/torch,33590800.0,34234044.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,25059238.0,,,,,1.0,,69326.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-12-19 12:26:04.000000,2024-12-19 12:26:03,32011.0,303.0,24746.0,2144.0,18146.0,1554.0,9753.0,60512.0,scikit-learn: machine learning in Python.,3234.0,53,True,2024-12-09 18:30:05,1.6.0,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],993354.0,993354.0,https://pypi.org/project/scikit-learn,80579189.0,81177329.0,https://anaconda.org/conda-forge/scikit-learn,2024-12-09 17:45:36.628,32897207.0,,,,,1.0,,1034.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-12-19 16:34:26.000000,2024-12-19 16:22:37,17618.0,723.0,26278.0,1124.0,18486.0,996.0,15349.0,136503.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2974.0,52,True,2024-12-17 15:42:54,4.47.1,133.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",258311.0,258311.0,https://pypi.org/project/transformers,49474706.0,49518838.0,https://anaconda.org/conda-forge/transformers,2024-12-18 05:19:05.387,2339029.0,,,,,1.0,,,,,,,,,,,,,
