,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-01-22 11:36:03.000000,2025-01-22 11:36:03,1575.0,7.0,734.0,118.0,347.0,71.0,154.0,5092.0,Benchmarks of approximate nearest neighbor libraries in Python.,111.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,183.0,58.0,205.0,,3.0,2443.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,96.0,199.0,5.0,6.0,3800.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,96.0,199.0,5.0,6.0,3800.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,96.0,199.0,5.0,6.0,3800.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,96.0,199.0,5.0,6.0,3800.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-02-06 18:01:06.000000,2025-02-06 17:58:20,175697.0,3680.0,72905.0,7535.0,44582.0,826.0,39389.0,190463.0,An Open Source Machine Learning Framework for Everyone.,4784.0,55,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],461579.0,461579.0,https://pypi.org/project/tensorflow,20061006.0,20869466.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5302269.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-02-06 13:48:57.527927,2683.0,79038307.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-02-06 17:59:19.000000,2025-02-06 17:57:31,84122.0,3360.0,22798.0,1765.0,97546.0,14526.0,34141.0,86552.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5395.0,55,True,2025-01-29 17:18:54,2.6.0,58.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],635591.0,635591.0,https://pypi.org/project/torch,36120988.0,36747846.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,25670983.0,,,,,1.0,74448.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-02-06 17:36:33.000000,2025-02-06 17:36:32,32142.0,246.0,24842.0,2144.0,18332.0,1556.0,9812.0,60994.0,scikit-learn: machine learning in Python.,3253.0,53,True,2025-01-10 10:51:11,1.6.1,55.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1049241.0,1049241.0,https://pypi.org/project/scikit-learn,76523551.0,77117040.0,https://anaconda.org/conda-forge/scikit-learn,2025-01-10 08:41:17.222,33828376.0,,,,,1.0,1040.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-02-06 18:00:57.000000,2025-02-06 16:53:28,17965.0,622.0,26763.0,1138.0,18942.0,997.0,15605.0,138676.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3052.0,52,True,2025-01-30 19:52:27,4.48.2,136.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",282276.0,282276.0,https://pypi.org/project/transformers,40798939.0,40843939.0,https://anaconda.org/conda-forge/transformers,2025-01-30 23:12:03.977,2475017.0,,,,,1.0,,,,,,,,,,,,
