,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-04-15 14:58:41.000000,2025-04-15 14:58:40,1582.0,10.0,755.0,117.0,353.0,78.0,155.0,5228.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,184.0,57.0,205.0,,3.0,2491.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,268.0,97.0,200.0,6.0,6.0,3928.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,268.0,97.0,200.0,6.0,6.0,3928.0,Collection of database clients for python.,13.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,268.0,97.0,200.0,6.0,6.0,3928.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,268.0,97.0,200.0,6.0,6.0,3928.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-04-17 17:59:36.000000,2025-04-17 17:59:27,178897.0,4061.0,73069.0,7506.0,49254.0,830.0,39576.0,192149.0,An Open Source Machine Learning Framework for Everyone.,4845.0,56,True,2025-03-12 00:56:36,2.19.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],499287.0,499287.0,https://pypi.org/project/tensorflow,21790984.0,22590459.0,https://anaconda.org/conda-forge/tensorflow,2025-03-25 16:00:02.350,5464957.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-04-17 17:52:02.241077,2741.0,79506764.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-04-17 18:00:41.000000,2025-04-17 17:58:55,86645.0,3323.0,23365.0,1784.0,100811.0,14906.0,35446.0,89085.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5538.0,55,True,2025-01-29 17:18:54,2.6.0,58.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],723079.0,723079.0,https://pypi.org/project/torch,45271631.0,45892310.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,26654148.0,,,,,1.0,84124.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-04-17 18:02:02.000000,2025-04-17 14:11:54,18685.0,874.0,27588.0,1145.0,19968.0,1054.0,16018.0,143110.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3193.0,53,True,2025-04-14 16:11:25,4.51.3-Qwen2.5-Omni-preiew,142.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",337997.0,337997.0,https://pypi.org/project/transformers,58561871.0,58609345.0,https://anaconda.org/conda-forge/transformers,2025-04-14 10:58:25.652,2706033.0,,,,,1.0,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-04-17 16:26:13.000000,2025-04-17 16:26:13,32370.0,284.0,25043.0,2141.0,18650.0,1582.0,9888.0,61771.0,scikit-learn: machine learning in Python.,3287.0,53,True,2025-01-10 10:51:11,1.6.1,55.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1173661.0,1173661.0,https://pypi.org/project/scikit-learn,90993825.0,91594692.0,https://anaconda.org/conda-forge/scikit-learn,2025-03-25 16:00:05.999,35450653.0,,,,,1.0,1053.0,,,,,,,,,,,
