,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,trending
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,2.0,792.0,117.0,363.0,85.0,156.0,5369.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-07-24 17:17:04.000000,2025-07-24 17:17:02,351.0,5.0,184.0,57.0,207.0,,3.0,2552.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2025-07-24 17:17:08,2025.07.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-07-24 15:09:01.000000,2025-07-24 15:09:01,366.0,5.0,273.0,97.0,203.0,7.0,6.0,4054.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2025-07-24 15:26:29,2025.07.24,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-07-24 15:09:01.000000,2025-07-24 15:09:01,366.0,5.0,273.0,97.0,203.0,7.0,6.0,4054.0,Collection of database clients for python.,13.0,0,True,2025-07-24 15:26:29,2025.07.24,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-07-24 15:09:01.000000,2025-07-24 15:09:01,366.0,5.0,273.0,97.0,203.0,7.0,6.0,4054.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2025-07-24 15:26:29,2025.07.24,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-07-24 15:09:01.000000,2025-07-24 15:09:01,366.0,5.0,273.0,97.0,203.0,7.0,6.0,4054.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2025-07-24 15:26:29,2025.07.24,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-07-24 18:12:24.000000,2025-07-24 18:05:41,90827.0,3845.0,24257.0,1787.0,105968.0,15310.0,37330.0,91741.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5766.0,56,True,2025-06-04 18:13:15,2.7.1,60.0,,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],94615.0,51412866.0,816943.0,816943.0,https://pypi.org/project/torch,50807471.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,27807140.0,1.0,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-07-24 18:12:02.000000,2025-07-24 18:05:34,182661.0,3344.0,73203.0,7468.0,54842.0,881.0,39763.0,193663.0,An Open Source Machine Learning Framework for Everyone.,4898.0,55,True,2025-03-12 00:56:36,2.19.0,100.0,,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,23096177.0,537062.0,537062.0,https://pypi.org/project/tensorflow,22311438.0,https://anaconda.org/conda-forge/tensorflow,2025-06-12 16:08:02.065,5689992.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2025-07-24 12:48:55.439303,2785.0,80029112.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-07-24 17:33:16.000000,2025-07-24 16:52:35,19761.0,967.0,28639.0,1155.0,21460.0,1055.0,16559.0,147401.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3429.0,54,True,2025-07-23 11:31:21,4.53.2-Ernie-4.5-preiew,151.0,,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,68236246.0,396667.0,396667.0,https://pypi.org/project/transformers,68186012.0,https://anaconda.org/conda-forge/transformers,2025-07-22 19:26:29.306,3014055.0,1.0,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-07-24 10:36:54.000000,2025-07-24 10:36:54,32666.0,280.0,25346.0,2137.0,19096.0,1585.0,10033.0,62757.0,scikit-learn: machine learning in Python.,3354.0,53,True,2025-07-18 09:24:49,1.7.1,58.0,,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1061.0,110147250.0,1316197.0,1316197.0,https://pypi.org/project/scikit-learn,109535693.0,https://anaconda.org/conda-forge/scikit-learn,2025-07-22 10:49:17.158,37915996.0,1.0,,,,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-07-24 17:04:12.000000,2025-07-24 16:35:08,13864.0,614.0,17933.0,771.0,18312.0,188.0,8410.0,112188.0,Build context-aware reasoning applications.,3427.0,50,True,2025-07-24 14:42:53,langchain==0.3.27,100.0,,langchain,,,,,76432594.0,271417.0,271417.0,https://pypi.org/project/langchain,76432594.0,,,,1.0,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-07-24 18:11:42.000000,2025-07-24 18:11:42,52786.0,367.0,7769.0,586.0,19399.0,1238.0,9673.0,21466.0,matplotlib: plotting with Python.,1832.0,49,True,2025-05-09 17:22:05,3.10.3,93.0,,matplotlib,conda-forge/matplotlib,,,,93169907.0,1842282.0,1842282.0,https://pypi.org/project/matplotlib,92654216.0,https://anaconda.org/conda-forge/matplotlib,2025-05-15 21:25:31.306,31457182.0,1.0,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-07-24 13:58:23.000000,2025-07-24 13:58:22,60566.0,430.0,4664.0,289.0,14077.0,4561.0,9157.0,13775.0,A computer algebra system written in pure Python.,1391.0,48,True,2025-04-27 18:05:25,1.14.0,58.0,,sympy,conda-forge/sympy,,,561316.0,52502995.0,282424.0,282424.0,https://pypi.org/project/sympy,52345633.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,9514772.0,1.0,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-07-24 09:25:04.000000,2025-07-24 09:25:04,19774.0,291.0,2166.0,219.0,5572.0,68.0,3259.0,12941.0,Python Imaging Library (Fork).,489.0,48,True,2025-07-01 09:23:32,11.3.0,60.0,,Pillow,conda-forge/pillow,,,,167320500.0,2376922.0,2376922.0,https://pypi.org/project/Pillow,166364920.0,https://anaconda.org/conda-forge/pillow,2025-07-02 19:37:26.196,57334845.0,1.0,,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-07-24 18:12:24.000000,2025-07-24 18:06:59,26149.0,1198.0,6422.0,490.0,33887.0,2680.0,17995.0,38160.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1293.0,47,True,2025-07-18 22:27:25,ray-2.48.0,100.0,,ray,conda-forge/ray-tune,,,263.0,12824675.0,25612.0,25612.0,https://pypi.org/project/ray,12809563.0,https://anaconda.org/conda-forge/ray-tune,2025-06-22 12:48:48.809,831009.0,1.0,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-07-24 18:28:20.000000,2025-07-24 16:27:36,8001.0,485.0,3574.0,324.0,6600.0,1106.0,4204.0,40562.0,Streamlit A faster way to build and share data apps.,287.0,46,True,2025-07-16 16:26:55,1.47.0,100.0,,streamlit,,,,,11142421.0,994881.0,994881.0,https://pypi.org/project/streamlit,11142421.0,,,,1.0,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-07-24 06:00:26.000000,2025-07-24 06:00:26,7479.0,69.0,8298.0,901.0,6047.0,412.0,5100.0,27153.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",665.0,46,True,2025-05-25 08:57:01,3.0.2,66.0,,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,17724.0,26740786.0,166039.0,166039.0,https://pypi.org/project/xgboost,26635486.0,https://anaconda.org/conda-forge/xgboost,2025-05-26 23:05:23.787,6310237.0,1.0,,,,,,,,,,,,,,,
17,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-07-21 22:56:56.000000,2025-07-18 17:18:35,8617.0,222.0,2135.0,421.0,1300.0,494.0,1466.0,23513.0,Data Apps & Dashboards for Python. No JavaScript Required.,186.0,46,True,2025-06-30 15:33:17,3.1.1,117.0,,dash,conda-forge/dash,,,90.0,4585540.0,88600.0,88600.0,https://pypi.org/project/dash,4554015.0,https://anaconda.org/conda-forge/dash,2025-07-10 06:30:22.725,1922995.0,1.0,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-07-24 13:28:26.000000,2025-07-24 13:28:25,54847.0,1165.0,5623.0,714.0,55105.0,1003.0,17869.0,23061.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1407.0,46,True,2025-06-29 10:16:00,3.1.0,65.0,,paddlepaddle,,,['paddle'],15437.0,477851.0,8611.0,8611.0,https://pypi.org/project/paddlepaddle,477707.0,,,,1.0,,,,,,,,,,,,,,,
19,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-07-24 17:23:45.000000,2025-07-16 19:53:08,8099.0,189.0,2643.0,279.0,1925.0,660.0,2567.0,17488.0,The interactive graphing library for Python.,290.0,46,True,2025-06-26 16:24:04,6.2.0,109.0,,plotly,conda-forge/plotly,,,412.0,27778496.0,454585.0,454585.0,https://pypi.org/project/plotly,27607525.0,https://anaconda.org/conda-forge/plotly,2025-06-27 11:54:45.015,10375728.0,1.0,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,3618.0,,,,,,,
20,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-07-24 17:05:57.000000,2025-07-22 11:57:21,2848.0,327.0,8126.0,205.0,4565.0,278.0,11249.0,43538.0,Ultralytics YOLO.,288.0,45,True,2025-07-22 11:58:00,8.3.169,100.0,,ultralytics,,,,,5608666.0,56192.0,56192.0,https://pypi.org/project/ultralytics,5608666.0,,,,1.0,,,,,,,,,,,,,,,
21,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-07-23 22:07:54.000000,2025-07-23 18:11:05,6860.0,544.0,6113.0,261.0,7618.0,220.0,6329.0,43297.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1659.0,45,True,2025-07-23 18:12:00,0.12.52,100.0,,llama_index,,,,1033.0,3767707.0,22956.0,22956.0,https://pypi.org/project/llama_index,3767621.0,,,,2.0,,,,,,,,,,,,,,,
