,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,813.0,116.0,367.0,89.0,156.0,5467.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-16 17:03:27.000000,2025-10-02 18:06:49,371.0,187.0,56.0,219.0,,4.0,2618.0,Collection of web-scraping and crawling libraries.,16.0,0,True,22.0,2025-09-28 18:52:23,2025.09.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-16 13:48:59.000000,2025-10-09 16:29:44,389.0,276.0,97.0,216.0,9.0,6.0,4184.0,Collection of data-loading and -extraction libraries.,14.0,0,True,25.0,2025-10-09 16:29:50,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-16 13:48:59.000000,2025-10-09 16:29:44,389.0,276.0,97.0,216.0,9.0,6.0,4184.0,Collection of database clients for python.,14.0,0,True,25.0,2025-10-09 16:29:50,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-16 13:48:59.000000,2025-10-09 16:29:44,389.0,276.0,97.0,216.0,9.0,6.0,4184.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,25.0,2025-10-09 16:29:50,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-16 13:48:59.000000,2025-10-09 16:29:44,389.0,276.0,97.0,216.0,9.0,6.0,4184.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,25.0,2025-10-09 16:29:50,2025.10.09,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-10-16 18:02:02.000000,2025-10-16 17:58:41,185934.0,73348.0,7446.0,59512.0,804.0,40064.0,194878.0,An Open Source Machine Learning Framework for Everyone.,4947.0,56,True,3450.0,2025-08-13 17:45:14,2.20.0,100.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],539348.0,539348.0,https://pypi.org/project/tensorflow,24354350.0,25126552.0,https://anaconda.org/conda-forge/tensorflow,2025-09-11 02:20:56.517,5968550.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-10-16 12:50:17.089599,2812.0,80618229.0,1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-10-16 18:01:57.000000,2025-10-16 17:47:01,94539.0,25059.0,1784.0,110857.0,15480.0,38845.0,93972.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5973.0,56,True,3940.0,2025-10-15 17:12:27,2.9.0,62.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],825984.0,825984.0,https://pypi.org/project/torch,65398973.0,65986581.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28745111.0,,,,,1.0,106181.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-10-16 17:41:04.000000,2025-10-16 17:41:03,20892.0,29663.0,1171.0,23012.0,1071.0,16994.0,151199.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3614.0,54,True,1197.0,2025-10-14 15:39:34,4.57.1,163.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",402535.0,402535.0,https://pypi.org/project/transformers,90006622.0,90058743.0,https://anaconda.org/conda-forge/transformers,2025-10-14 17:20:28.224,3283633.0,,,,,1.0,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-10-16 15:17:49.000000,2025-10-16 15:17:49,33035.0,25588.0,2132.0,19614.0,1599.0,10171.0,63695.0,scikit-learn: machine learning in Python.,3426.0,53,True,389.0,2025-09-09 08:57:24,1.7.2,59.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1325733.0,1325733.0,https://pypi.org/project/scikit-learn,137001588.0,137616522.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,39970157.0,,,,,1.0,1062.0,,,,,,,,,,
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-10-16 17:41:46.000000,2025-10-16 17:00:39,14551.0,18954.0,778.0,19435.0,159.0,8565.0,117360.0,Build context-aware reasoning applications.,3530.0,50,True,749.0,2025-10-16 17:41:46,langchain-core==1.0.0rc2,100.0,,langchain,,,,,274927.0,274927.0,https://pypi.org/project/langchain,79349905.0,79349905.0,,,,,,,,1.0,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-10-15 23:46:24.000000,2025-10-15 23:46:24,11740.0,18949.0,1880.0,8396.0,223.0,12344.0,63471.0,Deep Learning for humans.,1436.0,50,True,138.0,2025-08-22 17:48:22,3.11.3,81.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],304297.0,304297.0,https://pypi.org/project/keras,17196111.0,17265527.0,https://anaconda.org/conda-forge/keras,2025-08-14 14:37:18.300,4442668.0,,,,,1.0,,,,,,,,,,,
