,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,825.0,114.0,368.0,91.0,156.0,5533.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-12-11 17:01:42.000000,2025-12-04 17:55:05,387.0,193.0,56.0,226.0,,4.0,2655.0,Collection of web-scraping and crawling libraries.,16.0,0,True,22.0,2025-12-04 17:55:11,2025.12.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-12-11 15:05:24.000000,2025-12-11 15:05:24,408.0,285.0,96.0,225.0,9.0,6.0,4262.0,Collection of data-loading and -extraction libraries.,15.0,0,True,27.0,2025-12-11 15:05:33,2025.12.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-12-11 15:05:24.000000,2025-12-11 15:05:24,408.0,285.0,96.0,225.0,9.0,6.0,4262.0,Collection of database clients for python.,15.0,0,True,27.0,2025-12-11 15:05:33,2025.12.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-12-11 15:05:24.000000,2025-12-11 15:05:24,408.0,285.0,96.0,225.0,9.0,6.0,4262.0,"Collection of data-container, dataframe, and pandas-utility libraries.",15.0,0,True,27.0,2025-12-11 15:05:33,2025.12.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-12-11 15:05:24.000000,2025-12-11 15:05:24,408.0,285.0,96.0,225.0,9.0,6.0,4262.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",15.0,0,True,27.0,2025-12-11 15:05:33,2025.12.11,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-12-11 17:55:47.000000,2025-12-11 17:41:28,188105.0,73466.0,7427.0,62918.0,852.0,40181.0,195577.0,An Open Source Machine Learning Framework for Everyone.,4977.0,56,True,3533.0,2025-08-13 17:45:14,2.20.0,100.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],541336.0,541336.0,https://pypi.org/project/tensorflow,23854639.0,24618782.0,https://anaconda.org/conda-forge/tensorflow,2025-11-29 13:48:43.322,6182036.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-12-11 13:50:56.674053,2826.0,80953316.0,1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-12-11 18:04:13.000000,2025-12-11 17:42:02,97003.0,25654.0,1771.0,113895.0,16139.0,39664.0,95789.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,6094.0,56,True,4022.0,2025-11-12 19:27:19,2.9.1,63.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],832514.0,832514.0,https://pypi.org/project/torch,73726563.0,74306705.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,29517262.0,,,,,1.0,152423.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-12-11 18:08:39.000000,2025-12-11 17:03:32,21459.0,30237.0,1160.0,23896.0,1102.0,17218.0,153752.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3691.0,54,True,1032.0,2025-11-25 15:51:36,4.57.3,165.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",406584.0,406584.0,https://pypi.org/project/transformers,120014677.0,120068759.0,https://anaconda.org/conda-forge/transformers,2025-11-25 16:45:50.377,3515384.0,,,,,1.0,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-12-11 02:07:51.000000,2025-12-11 02:07:51,33226.0,25762.0,2119.0,19907.0,1588.0,10257.0,64259.0,scikit-learn: machine learning in Python.,3446.0,54,True,381.0,2025-12-10 13:32:02,1.8.0,61.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1332413.0,1332413.0,https://pypi.org/project/scikit-learn,190857012.0,191473394.0,https://anaconda.org/conda-forge/scikit-learn,2025-12-10 16:39:00.139,41297013.0,,,,,1.0,1069.0,,,,,,,,,,
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-12-11 15:53:54.000000,2025-12-11 15:53:52,14885.0,19671.0,792.0,19977.0,206.0,8680.0,121649.0,The platform for reliable agents.,3562.0,50,True,666.0,2025-12-09 14:56:11,langchain-core==1.1.3,100.0,,langchain,,,,,277335.0,277335.0,https://pypi.org/project/langchain,97140671.0,97140671.0,,,,,,,,1.0,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-12-11 05:06:35.000000,2025-12-11 05:06:34,11825.0,18982.0,1866.0,8521.0,215.0,12389.0,63629.0,Deep Learning for humans.,1455.0,50,True,130.0,2025-10-27 20:22:24,3.12.0,82.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],305148.0,305148.0,https://pypi.org/project/keras,17457822.0,17527484.0,https://anaconda.org/conda-forge/keras,2025-10-28 01:59:07.277,4597757.0,,,,,1.0,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-12-11 16:38:35.000000,2025-12-11 16:38:35,20218.0,2220.0,216.0,5741.0,67.0,3305.0,13252.0,Python Imaging Library (Fork).,493.0,49,True,211.0,2025-10-15 18:27:27,12.0.0,61.0,,Pillow,conda-forge/pillow,,,,2402364.0,2402364.0,https://pypi.org/project/Pillow,248069835.0,249056189.0,https://anaconda.org/conda-forge/pillow,2025-11-28 12:54:51.935,64113042.0,,,,,1.0,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-12-11 18:19:41.000000,2025-12-11 18:19:40,28393.0,6868.0,481.0,37035.0,2830.0,19174.0,40270.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1427.0,48,True,1386.0,2025-11-29 00:40:40,ray-2.51.2,100.0,,ray,conda-forge/ray-tune,,,,26897.0,26897.0,https://pypi.org/project/ray,45208037.0,45224170.0,https://anaconda.org/conda-forge/ray-tune,2025-11-30 06:34:15.597,967845.0,,,,,1.0,268.0,,,,,,,,,,
14,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-12-08 23:08:32.000000,2025-12-08 23:08:31,53437.0,7969.0,587.0,19722.0,1186.0,9884.0,22107.0,matplotlib: plotting with Python.,1865.0,48,True,181.0,2025-11-13 02:16:00,3.10.8,97.0,,matplotlib,conda-forge/matplotlib,,,,1864628.0,1864628.0,https://pypi.org/project/matplotlib,127731752.0,128249785.0,https://anaconda.org/conda-forge/matplotlib,2025-11-13 19:55:38.824,34190211.0,,,,,1.0,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-12-11 18:52:47.000000,2025-12-11 17:18:33,8718.0,3918.0,324.0,7537.0,1139.0,4523.0,42639.0,Streamlit A faster way to build and share data apps.,307.0,47,True,450.0,2025-12-05 18:55:46,1.52.1,100.0,,streamlit,,,,,1001080.0,1001080.0,https://pypi.org/project/streamlit,23852164.0,23852164.0,,,,,,,,1.0,,,,,,,,,,,
16,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-12-11 17:20:25.000000,2025-12-11 17:15:57,9687.0,4921.0,315.0,14070.0,1565.0,3268.0,23244.0,The open source developer platform to build AI agents and models with confidence. Enhance your AI applications with..,932.0,47,True,1004.0,2025-12-05 17:30:23,3.7.0,112.0,,mlflow,conda-forge/mlflow,,,,66232.0,66232.0,https://pypi.org/project/mlflow,26821520.0,26879134.0,https://anaconda.org/conda-forge/mlflow,2025-12-06 15:06:51.320,3802531.0,,,,,1.0,8.0,,,,,,,,,,
17,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-12-10 17:07:05.000000,2025-12-10 17:07:05,8341.0,2724.0,278.0,1992.0,704.0,2600.0,18076.0,The interactive graphing library for Python.,304.0,47,True,125.0,2025-11-17 18:37:45,6.5.0,113.0,,plotly,conda-forge/plotly,,,,461886.0,461886.0,https://pypi.org/project/plotly,41113511.0,41295073.0,https://anaconda.org/conda-forge/plotly,2025-11-18 01:48:53.684,12024097.0,,,,,1.0,633.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2094.0,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-12-11 16:53:06.000000,2025-12-11 16:53:05,61366.0,4863.0,284.0,14396.0,4609.0,9263.0,14177.0,A computer algebra system written in pure Python.,1424.0,47,True,265.0,2025-04-27 18:05:25,1.14.0,58.0,,sympy,conda-forge/sympy,,,,287783.0,287783.0,https://pypi.org/project/sympy,86950648.0,87121883.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,11217577.0,,,,,1.0,567672.0,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-12-10 22:46:00.000000,2025-12-10 22:46:00,7615.0,8329.0,893.0,6243.0,425.0,5163.0,27728.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",672.0,46,True,84.0,2025-11-20 13:33:54,3.1.2,73.0,,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,168372.0,168372.0,https://pypi.org/project/xgboost,37104212.0,37208900.0,https://anaconda.org/conda-forge/xgboost,2025-12-10 04:13:46.692,6795094.0,,,,,1.0,21020.0,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-12-11 12:45:25.000000,2025-12-11 12:45:25,56597.0,5751.0,708.0,57467.0,1005.0,18098.0,23488.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1469.0,46,True,1050.0,2025-12-08 01:34:19,3.2.2,68.0,,paddlepaddle,,,,['paddle'],8902.0,8902.0,https://pypi.org/project/paddlepaddle,1089342.0,1089480.0,,,,,,,,1.0,15465.0,,,,,,,,,,
21,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-12-10 19:44:34.000000,2025-12-10 19:44:34,9671.0,1791.0,206.0,6417.0,1008.0,4468.0,13647.0,Parallel computing with task scheduling.,634.0,46,True,68.0,2025-11-06 16:55:27,2025.11.0,201.0,,dask,conda-forge/dask,,,,77822.0,77822.0,https://pypi.org/project/dask,23968242.0,24187240.0,https://anaconda.org/conda-forge/dask,2025-11-06 20:31:06.029,14672931.0,,,,,1.0,,,,,stable/dask,,,,,,
22,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-12-11 13:33:11.000000,2025-12-11 12:57:39,3343.0,9201.0,236.0,5240.0,152.0,11981.0,49792.0,Ultralytics YOLO.,310.0,45,True,272.0,2025-12-11 12:58:52,8.3.236,100.0,,ultralytics,,,,,57175.0,57175.0,https://pypi.org/project/ultralytics,8979695.0,8979868.0,,,,,,,,1.0,1217.0,,,,,,,,,,
23,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-12-10 17:32:31.000000,2025-12-10 17:32:27,7321.0,6498.0,259.0,8174.0,234.0,6584.0,45761.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1785.0,45,True,271.0,2025-12-04 19:46:03,0.14.10,100.0,,llama_index,,,,,23694.0,23694.0,https://pypi.org/project/llama_index,7094286.0,7094356.0,,,,,,,,2.0,1061.0,,,,,,,,,,
