,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,{},5176.0,TensorFlow is an end-to-end open source platform for machine learning.,25,False,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547124.0,547124.0,https://pypi.org/project/tensorflow,18849974.0,20093865.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 17:39:13.415,2026-05-07 01:46:13.942,2026-07-23 12:50:34.078565,7202676.0,46.0,https://hub.docker.com/r/tensorflow/tensorflow,2026-07-23 12:50:34.078565,2908.0,2908.0,82357546.0,1.0,-30.0,,,,,,,,,,
7,Pillow,python-pillow/Pillow,image,,{},511.0,Pillow is the friendly PIL fork by Alex Clark and Contributors.,25,True,Pillow,conda-forge/pillow,,,,2468012.0,2468012.0,https://pypi.org/project/Pillow,513641030.0,514742967.0,https://anaconda.org/conda-forge/pillow,2020-07-02 12:37:30.903,2026-07-01 14:19:14.756,2026-07-01 14:19:14.756000,79339497.0,60.0,,,,,,1.0,,PIL,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,{},1892.0,Publication quality figures in Python.,25,True,matplotlib,conda-forge/matplotlib,,,,1910762.0,1910762.0,https://pypi.org/project/matplotlib,224851714.0,225402722.0,https://anaconda.org/conda-forge/matplotlib,2020-06-19 14:20:14.311,2026-07-20 21:24:14.906,2026-07-20 21:24:14.906000,40223613.0,84.0,,,,,,1.0,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,{},6753.0,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,24,False,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],868995.0,868995.0,https://pypi.org/project/torch,94120182.0,94666245.0,https://anaconda.org/pytorch/pytorch,2021-09-14 15:18:07.767,2025-03-25 16:24:31.802,2025-03-25 16:24:31.802000,31671661.0,32.0,,,,,,1.0,-32.0,BSD-3-Clause,,,,,,,,,
10,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,{},3542.0,A set of python modules for machine learning and data mining.,24,False,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1366895.0,1366895.0,https://pypi.org/project/scikit-learn,216997128.0,217658279.0,https://anaconda.org/conda-forge/scikit-learn,2020-05-13 13:26:05.862,2026-06-02 15:39:39.655,2026-06-02 15:39:39.655000,48925205.0,63.0,,,,,,1.0,,,,,,,,,,,
11,transformers,huggingface/transformers,nlp,,{},4047.0,State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,23,False,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",429884.0,429884.0,https://pypi.org/project/transformers,174752186.0,174816939.0,https://anaconda.org/conda-forge/transformers,2020-07-21 09:47:14.490,2026-07-16 16:57:17.780,2026-07-16 16:57:17.780000,4662252.0,194.0,,,,,,1.0,,,,,,,,,,,
12,nltk,nltk/nltk,nlp,,{},509.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,22,False,nltk,conda-forge/nltk,,,,421278.0,421278.0,https://pypi.org/project/nltk,67307435.0,67371044.0,https://anaconda.org/conda-forge/nltk,2021-03-23 13:25:58.880,2026-07-08 05:21:55.681,2026-07-08 05:21:55.681000,4070991.0,23.0,,,,,,1.0,,,,,,,,,,,
13,Tokenizers,huggingface/tokenizers,nlp,,{},150.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,22,False,tokenizers,conda-forge/tokenizers,,,,203981.0,203981.0,https://pypi.org/project/tokenizers,209199417.0,209269290.0,https://anaconda.org/conda-forge/tokenizers,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757,2026-06-29 18:15:09.757000,5030886.0,39.0,,,,,,1.0,,,,,,,,,,,
14,Plotly,plotly/plotly.py,data-viz,,{},326.0,"An interactive, browser-based graphing library for Python.",22,False,plotly,conda-forge/plotly,,,,475038.0,475038.0,https://pypi.org/project/plotly,65926677.0,66135432.0,https://anaconda.org/conda-forge/plotly,2020-05-26 16:18:32.550,2026-07-09 19:32:48.385,2026-07-09 19:32:48.385000,15393822.0,119.0,,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,731.0,,,,,,
15,networkx,networkx/networkx,graph,,{},847.0,Python package for creating and manipulating complex networks.,22,False,networkx,conda-forge/networkx,,,,457228.0,457228.0,https://pypi.org/project/networkx,277314101.0,277790881.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:28:59.969,2025-12-08 17:32:15.937,2025-12-08 17:32:15.937000,33851436.0,33.0,,,,,,1.0,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,{},1542.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,,https://keras.io,['tensorflow'],308048.0,308048.0,https://pypi.org/project/keras,18249438.0,18322334.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:32.150,2026-06-25 11:45:24.594,2026-06-25 11:45:24.594000,5321439.0,51.0,,,,,,1.0,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,{},693.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",21,False,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,172510.0,172510.0,https://pypi.org/project/xgboost,47549241.0,47659123.0,https://anaconda.org/conda-forge/xgboost,2020-07-02 21:36:28.150,2026-07-21 08:09:36.460,2026-07-21 08:09:36.460000,7911559.0,43.0,,,,,,1.0,,,,,,,,,,,
18,sentence-transformers,UKPLab/sentence-transformers,nlp,,{},281.0,Sentence Embeddings using BERT / RoBERTa / XLNet.,21,False,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],138542.0,138542.0,https://pypi.org/project/sentence-transformers,28792294.0,28819720.0,https://anaconda.org/conda-forge/sentence-transformers,2020-09-18 19:41:05.496,2026-06-16 20:54:35.967,2026-06-16 20:54:35.967000,1919822.0,48.0,,,,,,1.0,,,,,,,,,,,
