,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,{},5216.0,TensorFlow is an end-to-end open source platform for machine learning.,25,False,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547351.0,547351.0,https://pypi.org/project/tensorflow,19875837.0,21104449.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 17:39:13.415,2026-05-07 01:46:13.942,2026-08-06 12:49:18.316035,7245304.0,46.0,https://hub.docker.com/r/tensorflow/tensorflow,2026-08-06 12:49:18.316035,2913.0,2913.0,82443459.0,1.0,,,,,,,,,,,
7,Pillow,python-pillow/Pillow,image,,{},518.0,Pillow is the friendly PIL fork by Alex Clark and Contributors.,25,True,Pillow,conda-forge/pillow,,,,2472369.0,2472369.0,https://pypi.org/project/Pillow,536476593.0,537586362.0,https://anaconda.org/conda-forge/pillow,2020-07-02 12:37:30.903,2026-07-01 14:19:14.756,2026-07-01 14:19:14.756000,81013207.0,60.0,,,,,,1.0,PIL,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,{},1898.0,Publication quality figures in Python.,25,True,matplotlib,conda-forge/matplotlib,,,,1913486.0,1913486.0,https://pypi.org/project/matplotlib,230517511.0,231072061.0,https://anaconda.org/conda-forge/matplotlib,2020-06-19 14:20:14.311,2026-07-28 04:12:59.218,2026-07-28 04:12:59.218000,41036710.0,84.0,,,,,,1.0,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,{},6805.0,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,24,False,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],871123.0,871123.0,https://pypi.org/project/torch,96840777.0,97379466.0,https://anaconda.org/pytorch/pytorch,2021-09-14 15:18:07.767,2025-03-25 16:24:31.802,2025-03-25 16:24:31.802000,31782666.0,32.0,,,,,,1.0,BSD-3-Clause,,,,,,,,,,
10,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,{},3547.0,A set of python modules for machine learning and data mining.,24,False,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1368896.0,1368896.0,https://pypi.org/project/scikit-learn,229526479.0,230189903.0,https://anaconda.org/conda-forge/scikit-learn,2020-05-13 13:26:05.862,2026-06-02 15:39:39.655,2026-06-02 15:39:39.655000,49756837.0,63.0,,,,,,1.0,,,,,,,,,,,
11,transformers,huggingface/transformers,nlp,,{},4060.0,State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,24,False,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",431168.0,431168.0,https://pypi.org/project/transformers,184828023.0,184893589.0,https://anaconda.org/conda-forge/transformers,2020-07-21 09:47:14.490,2026-07-16 16:57:17.780,2026-07-16 16:57:17.780000,4786345.0,194.0,,,,,,1.0,,1.0,,,,,,,,,
12,nltk,nltk/nltk,nlp,,{},516.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,22,False,nltk,conda-forge/nltk,,,,421733.0,421733.0,https://pypi.org/project/nltk,69833328.0,69896704.0,https://anaconda.org/conda-forge/nltk,2021-03-23 13:25:58.880,2026-08-05 19:33:12.668,2026-08-05 19:33:12.668000,4119485.0,25.0,,,,,,1.0,,,,,,,,,,,
13,Tokenizers,huggingface/tokenizers,nlp,,{},150.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,22,False,tokenizers,conda-forge/tokenizers,,,,205134.0,205134.0,https://pypi.org/project/tokenizers,230554446.0,230625150.0,https://anaconda.org/conda-forge/tokenizers,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757,2026-06-29 18:15:09.757000,5161397.0,39.0,,,,,,1.0,,,,,,,,,,,
14,Plotly,plotly/plotly.py,data-viz,,{},329.0,"An interactive, browser-based graphing library for Python.",22,False,plotly,conda-forge/plotly,,,,475730.0,475730.0,https://pypi.org/project/plotly,69718790.0,69928167.0,https://anaconda.org/conda-forge/plotly,2020-05-26 16:18:32.550,2026-07-09 19:32:48.385,2026-07-09 19:32:48.385000,15645944.0,119.0,,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,765.0,,,,,,
15,networkx,networkx/networkx,graph,,{},849.0,Python package for creating and manipulating complex networks.,22,False,networkx,conda-forge/networkx,,,,458655.0,458655.0,https://pypi.org/project/networkx,280521426.0,281001566.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:28:59.969,2025-12-08 17:32:15.937,2025-12-08 17:32:15.937000,34570096.0,33.0,,,,,,1.0,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,{},1550.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,,https://keras.io,['tensorflow'],308172.0,308172.0,https://pypi.org/project/keras,19089633.0,19161937.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:32.150,2026-07-30 13:59:39.561,2026-07-30 13:59:39.561000,5350497.0,52.0,,,,,,1.0,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,{},695.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",21,False,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,172755.0,172755.0,https://pypi.org/project/xgboost,48318403.0,48428226.0,https://anaconda.org/conda-forge/xgboost,2020-07-02 21:36:28.150,2026-07-21 08:09:36.460,2026-07-21 08:09:36.460000,8017147.0,43.0,,,,,,1.0,,,,,,,,,,,
18,sentence-transformers,UKPLab/sentence-transformers,nlp,,{},288.0,Sentence Embeddings using BERT / RoBERTa / XLNet.,21,False,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],139255.0,139255.0,https://pypi.org/project/sentence-transformers,30462132.0,30490528.0,https://anaconda.org/conda-forge/sentence-transformers,2020-09-18 19:41:05.496,2026-07-24 12:44:24.593,2026-07-24 12:44:24.593000,2016156.0,49.0,,,,,,1.0,,,,,,,,,,,
