,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,recent_commit_count,trending,helm_id,maven_id,updated_github_id,maven_url,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,fairseq,facebookresearch/fairseq,nlp,,https://github.com/facebookresearch/fairseq,433.0,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,31,True,fairseq,conda-forge/fairseq,['pytorch'],https://github.com/facebookresearch/fairseq,MIT,2017-08-29 16:26:12.000,2026-08-18 00:26:45.420000,2025-09-30 11:16:06,2330.0,6422.0,426.0,1377.0,1201.0,3060.0,32222.0,2022-06-27 19:32:58,0.12.2,643.0,2987.0,16.0,24.0,24.0,https://pypi.org/project/fairseq,https://anaconda.org/conda-forge/fairseq,2026-08-18 00:26:45.420,220615.0,1.0,,,,,,,,,,,,,,,,,,,
7,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,222.0,"Serve, optimize and scale PyTorch models in production.",30,False,torchserve,pytorch/torchserve,['pytorch'],https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2025-08-06 19:17:08.000000,2025-03-17 18:20:57,3891.0,871.0,11.0,1761.0,385.0,1275.0,4377.0,2024-09-30 22:46:39,0.12.0,8506.0,56170.0,25.0,955.0,955.0,https://pypi.org/project/torchserve,https://anaconda.org/pytorch/torchserve,2025-03-25 16:24:31.948,766925.0,1.0,pytorch/torchserve,26436.0,https://hub.docker.com/r/pytorch/torchserve,2024-09-30 22:07:15.226668,33.0,1632120.0,,,,,,,,,,,,,
8,Albumentations,albumentations-team/albumentations,image,,https://github.com/albumentations-team/albumentations,172.0,Fast and flexible image augmentation library. Paper about the library: https://www.mdpi.com/2078-2489/11/2/125.,29,False,albumentations,conda-forge/albumentations,['pytorch'],https://github.com/albumentations-team/albumentations,MIT,2018-06-06 03:10:50.000,2025-06-25 23:21:43.000000,2025-06-25 23:21:40,1332.0,1689.0,6.0,1259.0,,1260.0,15309.0,2025-05-27 21:22:56,2.0.8,,3188770.0,51.0,,,https://pypi.org/project/albumentations,https://anaconda.org/conda-forge/albumentations,2025-05-28 13:47:29.423,425991.0,1.0,,3183014.0,,,,,,,,,,,,,,,,,
9,ivy,unifyai/ivy,ml-frameworks,,https://github.com/unifyai/ivy,1485.0,Convert Machine Learning Code Between Frameworks.,29,True,ivy,,,https://github.com/unifyai/ivy,,2021-01-19 08:37:25.000,2026-09-15 13:20:58.000000,2026-09-15 13:20:56,19098.0,5429.0,65.0,11826.0,946.0,15961.0,14171.0,2025-06-16 00:11:47,1.0.0.5,,32847.0,38.0,,,https://pypi.org/project/ivy,,,,1.0,,32847.0,,,,,3.0,22.0,,,,,,,,,,,
10,fastText,facebookresearch/fastText,nlp,,https://github.com/facebookresearch/fastText,68.0,Library for fast text representation and classification.,28,False,fasttext,conda-forge/fasttext,,https://github.com/facebookresearch/fastText,MIT,2016-07-16 13:38:42.000,2025-11-05 20:00:51.025000,2024-03-13 15:16:33,391.0,4673.0,6.0,268.0,466.0,611.0,26529.0,2020-04-28 09:51:33,0.9.2,,2027843.0,4.0,24.0,24.0,https://pypi.org/project/fasttext,https://anaconda.org/conda-forge/fasttext,2025-11-05 20:00:51.025,219010.0,1.0,,2024802.0,,,,,,,,,,,,,,,,,
11,horovod,horovod/horovod,distributed-ml,,https://github.com/horovod/horovod,179.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",28,True,horovod,,,https://github.com/horovod/horovod,,2017-08-09 19:39:59.000,2026-09-17 09:15:03.000000,2026-09-17 09:14:58,1353.0,2181.0,322.0,1633.0,380.0,1869.0,14682.0,2023-06-12 09:26:22,0.28.1,,35795.0,24.0,,,https://pypi.org/project/horovod,,,,1.0,,35795.0,,,,,5.0,,stable/horovod,,,,,,,,,,
12,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,191.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",28,False,nni,,,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2024-07-03 10:55:10.000000,2023-10-26 05:31:53,3012.0,1815.0,9.0,3492.0,397.0,1681.0,14361.0,2023-09-14 12:12:06,3.0,,24701.0,40.0,24.0,24.0,https://pypi.org/project/nni,,,,1.0,,24701.0,,,,,,,,,,,,,,,,,
13,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,220.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,28,True,parlai,,['pytorch'],https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2026-07-30 21:27:52.000000,2026-07-30 21:27:01,4359.0,1992.0,11.0,3403.0,50.0,1494.0,10618.0,2023-06-06 20:16:41,1.7.2,,1662.0,23.0,24.0,24.0,https://pypi.org/project/parlai,,,,1.0,,1662.0,,,,,1.0,,,,,,,,,,,,
14,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,155.0,Magenta: Music and Art Generation with Machine Intelligence.,27,True,magenta,,['tensorflow'],https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2026-01-06 01:17:54.000000,2026-01-06 01:17:53,1426.0,3683.0,11.0,1146.0,381.0,589.0,19798.0,2022-08-01 18:18:44,2.1.4,,1878.0,48.0,19.0,19.0,https://pypi.org/project/magenta,,,,1.0,,1878.0,,,,,,,,,,,,,,,,,
15,torchtext,pytorch/text,nlp,,https://github.com/pytorch/text,156.0,"Models, data loaders and abstractions for language processing, powered by PyTorch.",26,True,torchtext,,['pytorch'],https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000,2025-09-10 21:39:02.000000,2025-09-10 21:39:02,1313.0,787.0,139.0,1476.0,290.0,522.0,3554.0,2024-04-24 16:20:45,0.18.0,,97389.0,31.0,,,https://pypi.org/project/torchtext,,,,1.0,,97389.0,,,,,,,,,,,,,,,,,
